path,links,title
/archive.html,14/8,The RSSSF Archive
/career-index.html,0/1,-
/charter.html,0/1,-
/colour-index.html,0/1,-
/countries-wc-overview.html,0/1,-
/country.html,0/1,-
/cup.html,0/1,-
/cuphist.html,0/1,-
/curdom.html,264/8,The RSSSF Archive - Current Domestic Results
/curtour.html,147/8,The RSSSF Archive - Current International Tournaments
/googlersssf.html,0/4,-
/guide.html,11/8,The RSSSF Archive - Guide to the Contents
/histdom.html,20/8,The RSSSF Archive - Historical Domestic Results
/history.html,0/1,-
/intclub.html,309/8,The RSSSF Archive - International Club Results
/intclub-friend.html,0/1,-
/intland.html,308/8,The RSSSF Archive - International Country Results
/intland-friend.html,0/1,-
/intland-women.html,0/2,-
/intland-youth.html,0/1,-
/intlp-countrywise.html,0/1,-
/links.html,0/9,-
/misc.html,373/8,The RSSSF Archive - Miscellaneous
/nersssf.html,0/4367,-
/prem.html,0/1,-
/profiles.html,0/1,-
/recent.html,345/8,The RSSSF Archive - Recent Additions
/recent00.html,0/1,-
/recent01.html,0/1,-
/recent02.html,0/1,-
/recent03.html,0/1,-
/recent04.html,0/1,-
/recent05.html,0/1,-
/recent06.html,0/1,-
/recent07.html,0/1,-
/recent08.html,0/1,-
/recent09.html,0/1,-
/recent2010.html,0/1,-
/recent2011.html,0/1,-
/recent2012.html,0/1,-
/recent2013.html,0/1,-
/recent2014.html,0/1,-
/recent2015.html,0/1,-
/recent2016.html,0/1,-
/recent2017.html,0/1,-
/recent2018.html,0/1,-
/recent2019.html,0/1,-
/recent2020.html,0/1,-
/recent2021.html,0/1,-
/recent2022.html,0/1,-
/recent2023.html,0/1,-
/recent2024.html,0/1,-
/recent2025.html,0/1,-
/recent98.html,0/1,-
/recent99.html,0/1,-
/results-afr.html,0/1,-
/results-ame.html,0/1,-
/results-aso.html,0/1,-
/results-eur.html,0/1,-
/resultsp.html,0/1,-
/resultsp00.html,0/1,-
/resultsp2010.html,0/1,-
/resultsp2020.html,0/1,-
/resultsp99.html,0/1,-
/rssbest.html,0/1,-
/sources.html,0/333,-
