path,links,title
/sacups/aldao.html,0/2,-
/sacups/allcopas-alltime.html,0/1,-
/sacups/almirantebrion.html,0/1,-
/sacups/argurucuptie.html,0/2,-
/sacups/arguruhonor.html,0/2,-
/sacups/asoargcup.html,0/1,-
/sacups/bottaro57.html,0/1,-
/sacups/conmebol.html,0/1,-
/sacups/conmebol-arg.html,0/1,-
/sacups/conmebol-peru.html,0/1,-
/sacups/conmebol-venez.html,0/1,-
/sacups/conmebolpts.html,0/1,-
/sacups/conmeboltops.html,0/1,-
/sacups/copa-5yr-ranking.html,0/2,-
/sacups/copa-u20.html,0/2,-
/sacups/copa-wom.html,0/1,-
/sacups/copa-wom-allt.html,0/1,-
/sacups/copa-wom2025.html,0/2,-
/sacups/copa00.html,0/1,-
/sacups/copa05.html,0/1,-
/sacups/copa06.html,0/1,-
/sacups/copa07.html,0/1,-
/sacups/copa08.html,0/1,-
/sacups/copa09.html,0/1,-
/sacups/copa2010.html,0/1,-
/sacups/copa2011.html,0/1,-
/sacups/copa2012.html,0/1,-
/sacups/copa2013.html,0/1,-
/sacups/copa2014.html,0/1,-
/sacups/copa2015.html,0/1,-
/sacups/copa2016.html,0/1,-
/sacups/copa2017.html,0/1,-
/sacups/copa2018.html,0/1,-
/sacups/copa2019.html,0/1,-
/sacups/copa2020.html,0/1,-
/sacups/copa2021.html,0/1,-
/sacups/copa2022.html,0/1,-
/sacups/copa2024.html,0/3,-
/sacups/copa48.html,0/1,-
/sacups/copa79.html,0/1,-
/sacups/copa93.html,0/1,-
/sacups/copa98.html,0/1,-
/sacups/copa99.html,0/1,-
/sacups/copabalance.html,0/1,-
/sacups/copalib.html,0/4,-
/sacups/copalib-clubrec.html,0/1,-
/sacups/copalibarg.html,0/1,-
/sacups/copalibchil.html,0/1,-
/sacups/copalibcoach.html,0/1,-
/sacups/copalibcol.html,0/1,-
/sacups/copalibmex.html,0/1,-
/sacups/copalibperu.html,0/1,-
/sacups/copalibpts.html,0/1,-
/sacups/copalibtops.html,0/1,-
/sacups/copalibvenez.html,0/1,-
/sacups/escobargerona.html,0/2,-
/sacups/feme00.html,0/1,-
/sacups/indep-sf-copa.html,0/1,-
/sacups/mastconmebol96.html,0/1,-
/sacups/merconorte.html,0/1,-
/sacups/merconorte-venez.html,0/1,-
/sacups/mercosur.html,0/1,-
/sacups/mercosur-arg.html,0/1,-
/sacups/mercosur98.html,0/1,-
/sacups/oro96.html,0/1,-
/sacups/panamcup02.html,0/2,-
/sacups/penarol-copa.html,0/1,-
/sacups/penarol-icc.html,0/1,-
/sacups/penarol-msur.html,0/1,-
/sacups/recopa.html,0/1,-
/sacups/recopa-allt.html,0/1,-
/sacups/recopa-venez.html,0/1,-
/sacups/recopa2025.html,0/1,-
/sacups/recopa70.html,0/1,-
/sacups/recopa71.html,0/1,-
/sacups/sacups-chil.html,0/1,-
/sacups/sam-futsalclub.html,0/1,-
/sacups/sam-interior-tourn01.html,0/1,-
/sacups/samisc.html,0/2,-
/sacups/sanisidro.html,0/1,-
/sacups/sasup.html,0/1,-
/sacups/sasupmas92.html,0/1,-
/sacups/sasuppts.html,0/1,-
/sacups/sasupsup98.html,0/1,-
/sacups/sasuptops.html,0/1,-
/sacups/simonbolivar.html,0/1,-
/sacups/sudamcup.html,0/1,-
/sacups/sudamcup-allt.html,0/1,-
/sacups/sudamcup-arg.html,0/1,-
/sacups/sudamcup-peru.html,0/1,-
/sacups/sudamcup-venez.html,0/1,-
/sacups/sudamcup03.html,0/1,-
/sacups/sudamcup2024.html,0/2,-
/sacups/supcopa-arg.html,0/1,-
/sacups/supcopa68.html,0/1,-
/sacups/supcopa69.html,0/1,-
/sacups/tachira-sacups.html,0/1,-
