path,links,title
/tables/00a.html,7/4,African Nations Cup 2000
/tables/00a-det.html,0/1,-
/tables/00a-qdet.html,3/2,African Nations Cup 2000 - Qualifying Tournament Details
/tables/00a-scor.html,0/2,-
/tables/00allanch.html,9/9,African Nations Championship
/tables/00as-scor.html,0/2,-
/tables/00asch.html,6/3,Asian Nations Cup 2000
/tables/00asch-ext.html,0/1,-
/tables/00e.html,6/3,European Championship 2000
/tables/00e-ext.html,0/1,-
/tables/00e-final.html,0/1,-
/tables/00e-scor.html,0/1,-
/tables/00gc.html,0/3,-
/tables/00gc-details.html,2/1,"CONCACAF Championship, Gold Cup 2000 - Full Details"
/tables/00gc-scor.html,0/1,-
/tables/00oc.html,0/2,-
/tables/00oc-scor.html,0/1,-
/tables/02a.html,6/3,African Nations Cup 2002
/tables/02a-det.html,0/1,-
/tables/02a-scor.html,0/2,-
/tables/02gc.html,0/2,-
/tables/02gc-scor.html,0/1,-
/tables/02oc.html,0/1,-
/tables/02oc-scor.html,0/1,-
/tables/03gc.html,0/2,-
/tables/03gc-scor.html,0/1,-
/tables/04a.html,6/3,African Nations Cup 2004
/tables/04a-det.html,0/1,-
/tables/04a-scor.html,0/2,-
/tables/04as-scor.html,0/1,-
/tables/04asch.html,5/3,Asian Nations Cup 2004
/tables/04asch-ext.html,0/1,-
/tables/04e.html,6/3,European Championship 2004
/tables/04e-ext.html,0/1,-
/tables/04e-scor.html,0/2,-
/tables/04oc.html,0/2,-
/tables/04oc-scor.html,0/1,-
/tables/05gc.html,0/2,-
/tables/05gc-scor.html,0/1,-
/tables/06a.html,8/5,African Nations Cup 2006
/tables/06a-det.html,0/1,-
/tables/06a-qdet.html,4/2,African Nations Cup 2006 - Qualifying Tournament Details
/tables/06a-scor.html,0/1,-
/tables/07as-scor.html,0/1,-
/tables/07asch.html,5/3,Asian Nations Cup 2007
/tables/07asch-det.html,0/1,-
/tables/07gc.html,0/2,-
/tables/07gc-scor.html,0/1,-
/tables/08a.html,6/3,African Nations Cup 2008
/tables/08a-det.html,0/1,-
/tables/08a-scor.html,0/2,-
/tables/08e.html,5/3,European Championship 2008
/tables/08e-det.html,0/1,-
/tables/08oc.html,0/2,-
/tables/08oc-scor.html,0/1,-
/tables/09anch.html,4/2,African Nations Championship 2009
/tables/09anch-det.html,0/1,-
/tables/09gc.html,0/2,-
/tables/09gc-scor.html,0/1,-
/tables/11asch.html,6/4,Asian Nations Cup 2011
/tables/16sa-scor.html,0/1,-
/tables/16safull.html,2/2,South American Championship 1916
/tables/17sa-scor.html,0/1,-
/tables/17safull.html,2/2,Southamerican Championship 1917
/tables/1933chile-perutour.html,0/1,-
