path,links,title
/tablesa/a3champions06.html,4/3,A3 Champions Cup (Tokyo) 2006
/tablesa/a3champions07.html,3/3,A3 Champions Cup (Jinan) 2007
/tablesa/a3eastasia.html,7/7,East Asian Champions Cup
/tablesa/a3mazda03.html,3/2,A3 Mazda Cup (Tokyo) 2003
/tablesa/a3nissan04.html,4/3,A3 Nissan Cup (Shanghai) 2004
/tablesa/a3nissan05.html,4/3,A3 Nissan Cup (Seogwipo) 2005
/tablesa/abchaz01.html,0/1,-
/tablesa/abchaz02.html,0/1,-
/tablesa/abchaz03.html,0/2,-
/tablesa/abchaz06.html,0/2,-
/tablesa/abchaz07.html,0/1,-
/tablesa/abchaz09.html,0/1,-
/tablesa/abchaz2011.html,0/2,-
/tablesa/abchaz2012.html,0/2,-
/tablesa/abchaz2013.html,0/2,-
/tablesa/abchaz2014.html,0/2,-
/tablesa/abchaz2015.html,0/2,-
/tablesa/abchaz2016.html,0/2,-
/tablesa/abchaz2017.html,0/2,-
/tablesa/abchaz2018.html,0/2,-
/tablesa/abchaz2019.html,0/2,-
/tablesa/abchaz2019a.html,0/1,-
/tablesa/abchaz2020.html,0/2,-
/tablesa/abchaz2021.html,0/3,-
/tablesa/abchaz2022.html,0/3,-
/tablesa/abchaz2023.html,0/3,-
/tablesa/abchaz2024.html,0/4,-
/tablesa/abchaz2025.html,6/4,Abkhazia 2025
/tablesa/abchaz2026.html,5/4,Abkhazia 2026
/tablesa/abchaz94.html,0/1,-
/tablesa/abchaz95.html,0/1,-
/tablesa/abchaz96.html,0/1,-
/tablesa/abchaz97.html,0/1,-
/tablesa/abchazchamp.html,28/2,Abkhazia - List of Champions
/tablesa/abchazcuphist.html,19/2,Abkhazia - List of Cup Winners
/tablesa/abchazsupcuphist.html,6/2,Abkhazia - List of Super Cup Winners
/tablesa/acsf.html,1/1,African Cups Semifinal Balance
/tablesa/adam.html,2/1,Adam Shield 1935-1967
/tablesa/aef.html,2/3,Coupe d'Afrique Equatoriale Française
/tablesa/af1.html,61/4,African Champions' Cup
/tablesa/af2.html,31/4,African Cup Winners' Cup
/tablesa/af3.html,36/4,CAF Cup and Confederation Cup
/tablesa/afa100-93.html,1/1,Copa Centenario de la A.F.A.
/tablesa/afc-emerging.html,7/7,AFC Challenge Cup
/tablesa/afc-emerging06.html,3/2,AFC Challenge Cup 2006 (Bangladesh)
/tablesa/afc-emerging08.html,4/4,AFC Challenge Cup 2008
