path,links,title
/tablesb/bah-intres.html,1/1,Bahrain International Matches
/tablesb/bah00.html,0/2,-
/tablesb/bah01.html,0/2,-
/tablesb/bah02.html,0/2,-
/tablesb/bah03.html,0/2,-
/tablesb/bah04.html,0/2,-
/tablesb/bah05.html,0/2,-
/tablesb/bah06.html,0/2,-
/tablesb/bah07.html,0/2,-
/tablesb/bah08.html,0/2,-
/tablesb/bah09.html,0/2,-
/tablesb/bah2010.html,0/2,-
/tablesb/bah2011.html,0/2,-
/tablesb/bah2012.html,0/2,-
/tablesb/bah2013.html,0/2,-
/tablesb/bah2014.html,0/2,-
/tablesb/bah2015.html,0/2,-
/tablesb/bah2016.html,0/2,-
/tablesb/bah2017.html,0/2,-
/tablesb/bah2018.html,0/2,-
/tablesb/bah2019.html,0/2,-
/tablesb/bah2020.html,0/2,-
/tablesb/bah2021.html,0/2,-
/tablesb/bah2022.html,0/2,-
/tablesb/bah2023.html,0/2,-
/tablesb/bah2024.html,0/3,-
/tablesb/bah2025.html,5/3,Bahrain 2024/25
/tablesb/bah2026.html,4/4,Bahrain 2025/26
/tablesb/bah84.html,0/2,-
/tablesb/bah85.html,0/2,-
/tablesb/bah89.html,0/1,-
/tablesb/bah95.html,0/1,-
/tablesb/bah96.html,0/2,-
/tablesb/bah98.html,0/2,-
/tablesb/bah99.html,0/2,-
/tablesb/bahama-intres.html,1/1,Bahamas - List of International Matches
/tablesb/bahama00.html,0/2,-
/tablesb/bahama01.html,0/2,-
/tablesb/bahama02.html,0/2,-
/tablesb/bahama03.html,0/2,-
/tablesb/bahama04.html,0/2,-
/tablesb/bahama05.html,0/1,-
/tablesb/bahama06.html,0/2,-
/tablesb/bahama07.html,0/1,-
/tablesb/bahama08.html,0/1,-
/tablesb/bahama09.html,0/2,-
/tablesb/bahama2010.html,0/2,-
/tablesb/bahama2011.html,0/2,-
/tablesb/bahama2012.html,0/1,-
/tablesb/bahama2013.html,0/1,-
/tablesb/bahama2014.html,0/1,-
/tablesb/bahama2015.html,0/1,-
/tablesb/bahama2016.html,0/2,-
/tablesb/bahama2017.html,0/1,-
/tablesb/bahama2018.html,0/2,-
/tablesb/bahama2019.html,0/1,-
/tablesb/bahama2020.html,0/1,-
/tablesb/bahama2023.html,0/2,-
/tablesb/bahama2024.html,0/2,-
/tablesb/bahama2025.html,5/3,Bahamas 2024/25
/tablesb/bahama2026.html,4/4,Bahamas 2025/26
/tablesb/bahama73.html,0/2,-
/tablesb/bahama74.html,0/2,-
/tablesb/bahama92.html,0/1,-
/tablesb/bahama93.html,0/1,-
/tablesb/bahama96.html,0/2,-
/tablesb/bahama99.html,0/1,-
/tablesb/bahamachamp.html,32/2,Bahamas - List of Champions
/tablesb/bahamacup07.html,0/1,-
/tablesb/bahamacuphist.html,19/2,Bahamas - List of Cup Winners
/tablesb/bahchamp.html,35/2,Bahrain - List of Champions
/tablesb/bahcup97.html,0/1,-
/tablesb/bahcuphist.html,34/2,Bahrain - List of Cup Winners
/tablesb/bahiraqres.html,1/1,Iraq-Bahrain matches
/tablesb/bahuaeres.html,1/1,Bahrain-United Arab Emirates matches 1972-1997
/tablesb/balkan-club.html,7/4,Balkan Cup
/tablesb/balkanclub60s.html,6/3,Balkan Cup 1960-69
/tablesb/balkanclub63.html,0/1,-
/tablesb/balkanclub70s.html,4/3,Balkan Cup 1970-79
/tablesb/balkanclub80s.html,5/3,Balkan Cup 1980-94
/tablesb/balkancup.html,5/4,Balkan Cup (for Nations)
/tablesb/balkancup29.html,3/2,Balkan Cup (for Nations) 1929/31
