path,links,title
/tablesd/dahomey49.html,0/2,-
/tablesd/dahomey52.html,0/1,-
/tablesd/dahomey54.html,0/2,-
/tablesd/dahomey58.html,5/2,Dahomey 1958
/tablesd/danzigclubs.html,2/1,Danzig Free State (Freistaat Danzig) - List of Clubs 1923
/tablesd/ddr-intres.html,9/2,East Germany - International Results 1952-1990
/tablesd/ddr-ol64.html,0/2,-
/tablesd/ddr-wc-ec.html,0/1,-
/tablesd/ddr-wom79.html,0/1,-
/tablesd/ddr-wom80.html,0/1,-
/tablesd/ddr-wom81.html,0/1,-
/tablesd/ddr-wom82.html,0/1,-
/tablesd/ddr-wom83.html,0/1,-
/tablesd/ddr-wom84.html,0/1,-
/tablesd/ddr-wom85.html,0/1,-
/tablesd/ddr-wom86.html,0/1,-
/tablesd/ddr-wom87.html,0/1,-
/tablesd/ddr-wom91.html,0/1,-
/tablesd/ddr-womchamp.html,11/1,East Germany - List of Women Champions
/tablesd/deafchamps.html,1/1,World Deaf Football Championships
/tablesd/deafindoor07.html,2/2,2007 World Deaf Indoor Football Championships
/tablesd/deafindoor96.html,2/2,1996 World Deaf Indoor Football Championships
/tablesd/deaflympics.html,8/1,Football Tournaments of the Summer Deafympics
/tablesd/deaflympics05.html,0/1,-
/tablesd/deaflympics2013.html,0/1,-
/tablesd/deaflympics2017.html,0/1,-
/tablesd/deaflympics24.html,0/1,-
/tablesd/deaflympics28.html,0/1,-
/tablesd/deaflympics87.html,0/1,-
/tablesd/den-intl0812.html,0/1,-
/tablesd/den-intl1315.html,0/1,-
/tablesd/den-intl1617.html,0/1,-
/tablesd/den-intl1819.html,0/1,-
/tablesd/den-intl1996.html,0/1,-
/tablesd/den-intl1997.html,0/1,-
/tablesd/den-intl1998.html,0/1,-
/tablesd/den-intl2021.html,0/1,-
/tablesd/den-intl2223.html,0/1,-
/tablesd/den-intl2425.html,0/1,-
/tablesd/den-intres.html,21/9,DENMARK - Overview of Official Internationals
/tablesd/den00.html,0/1,-
/tablesd/den01.html,0/1,-
/tablesd/den02.html,0/1,-
/tablesd/den03.html,0/1,-
/tablesd/den04.html,0/1,-
/tablesd/den05.html,0/1,-
/tablesd/den06.html,0/1,-
/tablesd/den07.html,0/1,-
/tablesd/den08.html,0/1,-
/tablesd/den09.html,0/1,-
/tablesd/den2010.html,0/2,-
/tablesd/den2011.html,0/2,-
/tablesd/den2012.html,0/2,-
