path,links,title
/tablese/eastafrsup.html,7/1,East African Hedex Super Cup
/tablese/eastasia.html,12/4,East Asian Championship
/tablese/eastasia-wom.html,11/3,East Asian Women's Championship
/tablese/eastasia-wom05.html,0/1,-
/tablese/eastasia-wom08.html,0/1,-
/tablese/eastasia-wom2010.html,0/2,-
/tablese/eastasia-wom2013.html,0/2,-
/tablese/eastasia-wom2015.html,0/2,-
/tablese/eastasia-wom2017.html,0/2,-
/tablese/eastasia-wom2019.html,0/3,-
/tablese/eastasia-wom2022.html,5/3,East Asian Women's Championship 2022
/tablese/eastasia-wom2025.html,4/4,East Asian Women's Championship 2025
/tablese/eastasia03.html,0/1,-
/tablese/eastasia05.html,0/1,-
/tablese/eastasia08.html,0/2,-
/tablese/eastasia2010.html,0/2,-
/tablese/eastasia2013.html,0/2,-
/tablese/eastasia2015.html,0/2,-
/tablese/eastasia2017.html,0/2,-
/tablese/eastasia2019.html,0/3,-
/tablese/eastasia2022.html,5/3,East Asian Championship 2022
/tablese/eastasia2025.html,4/5,East Asian Championship 2025
/tablese/eastasiagames.html,9/4,East Asian (Youth) Games
/tablese/eastasiagames01.html,0/1,-
/tablese/eastasiagames05.html,0/1,-
/tablese/eastasiagames09.html,0/2,-
/tablese/eastasiagames2013.html,5/4,East Asian Games 2013
/tablese/eastasiagames93.html,0/1,-
/tablese/eastasiagames97.html,0/1,-
/tablese/eastasiawomgames2013.html,4/3,East Asian Games 2013 (Women's Tournament)
/tablese/eastasiaygames2023.html,4/4,East Asian Youth Games 2023
/tablese/eastcentrafr.html,4/6,East and Central African Championship (CECAFA)
/tablese/ec-u16-00.html,0/1,-
/tablese/ec-u16-01.html,0/1,-
/tablese/ec-u16-02.html,0/1,-
/tablese/ec-u16-03.html,0/1,-
/tablese/ec-u16-04.html,0/1,-
/tablese/ec-u16-05.html,0/1,-
/tablese/ec-u16-82.html,0/1,-
/tablese/ec-u16-84.html,0/1,-
/tablese/ec-u16-85.html,0/1,-
/tablese/ec-u16-86.html,0/1,-
/tablese/ec-u16-87.html,0/1,-
/tablese/ec-u16-88.html,0/1,-
/tablese/ec-u16-89.html,0/1,-
/tablese/ec-u16-90.html,0/1,-
/tablese/ec-u16-91.html,0/1,-
/tablese/ec-u16-92.html,0/1,-
/tablese/ec-u16-93.html,0/1,-
/tablese/ec-u16-94.html,0/1,-
/tablese/ec-u16-95.html,0/1,-
/tablese/ec-u16-96.html,0/1,-
/tablese/ec-u16-97.html,0/1,-
/tablese/ec-u16-98.html,0/1,-
/tablese/ec-u16-99.html,0/1,-
/tablese/ec-u17-06.html,0/1,-
/tablese/ec-u17-07.html,0/1,-
/tablese/ec-u17-08.html,0/1,-
/tablese/ec-u17-09.html,0/1,-
/tablese/ec-u17-2010.html,0/1,-
/tablese/ec-u17-2011.html,0/1,-
/tablese/ec-u17-2012.html,0/1,-
/tablese/ec-u17-2013.html,0/1,-
/tablese/ec-u17-2014.html,0/1,-
/tablese/ec-u17-2015.html,0/1,-
/tablese/ec-u17-2016.html,0/1,-
/tablese/ec-u17-2017.html,0/1,-
/tablese/ec-u17-2018.html,0/1,-
/tablese/ec-u17-2019.html,0/1,-
/tablese/ec-u17-2022.html,0/1,-
/tablese/ec-u17-2023.html,0/2,-
/tablese/ec-u17-2024.html,4/2,European U-17 Championship 2023/24
/tablese/ec-u17-2025.html,3/3,European U-17 Championship 2024/25
/tablese/ec-u18-00.html,0/1,-
/tablese/ec-u18-01.html,0/1,-
/tablese/ec-u18-02.html,0/1,-
/tablese/ec-u18-03.html,0/1,-
/tablese/ec-u18-04.html,0/1,-
/tablese/ec-u18-05.html,0/1,-
/tablese/ec-u18-48.html,0/1,-
/tablese/ec-u18-49.html,0/1,-
/tablese/ec-u18-50.html,0/1,-
/tablese/ec-u18-51.html,0/1,-
/tablese/ec-u18-52.html,0/1,-
/tablese/ec-u18-53.html,0/1,-
/tablese/ec-u18-54.html,0/1,-
/tablese/ec-u18-55.html,0/1,-
/tablese/ec-u18-56.html,0/1,-
/tablese/ec-u18-57.html,0/1,-
/tablese/ec-u18-58.html,0/1,-
/tablese/ec-u18-59.html,0/1,-
/tablese/ec-u18-60.html,0/1,-
/tablese/ec-u18-61.html,0/1,-
/tablese/ec-u18-62.html,0/1,-
/tablese/ec-u18-63.html,0/1,-
/tablese/ec-u18-64.html,0/1,-
/tablese/ec-u18-65.html,0/1,-
/tablese/ec-u18-66.html,0/1,-
/tablese/ec-u18-67.html,0/1,-
/tablese/ec-u18-68.html,0/1,-
/tablese/ec-u18-69.html,0/1,-
/tablese/ec-u18-70.html,0/1,-
/tablese/ec-u18-71.html,0/1,-
/tablese/ec-u18-72.html,0/1,-
/tablese/ec-u18-73.html,0/1,-
/tablese/ec-u18-74.html,0/1,-
/tablese/ec-u18-75.html,0/1,-
/tablese/ec-u18-76.html,0/1,-
/tablese/ec-u18-77.html,0/1,-
/tablese/ec-u18-78.html,0/1,-
/tablese/ec-u18-79.html,0/1,-
/tablese/ec-u18-80.html,0/1,-
/tablese/ec-u18-81.html,0/1,-
/tablese/ec-u18-82.html,0/1,-
/tablese/ec-u18-83.html,0/1,-
/tablese/ec-u18-84.html,0/1,-
/tablese/ec-u18-86.html,0/1,-
/tablese/ec-u18-88.html,0/1,-
/tablese/ec-u18-90.html,0/1,-
/tablese/ec-u18-92.html,0/1,-
/tablese/ec-u18-93.html,0/1,-
/tablese/ec-u18-94.html,0/1,-
/tablese/ec-u18-95.html,0/1,-
/tablese/ec-u18-96.html,0/1,-
/tablese/ec-u18-97.html,0/1,-
/tablese/ec-u18-98.html,0/1,-
/tablese/ec-u18-99.html,0/1,-
/tablese/ec-u19-06.html,0/1,-
/tablese/ec-u19-07.html,0/1,-
/tablese/ec-u19-08.html,0/1,-
/tablese/ec-u19-09.html,0/1,-
/tablese/ec-u19-2010.html,0/1,-
/tablese/ec-u19-2011.html,0/1,-
/tablese/ec-u19-2012.html,0/1,-
/tablese/ec-u19-2013.html,0/1,-
/tablese/ec-u19-2014.html,0/1,-
/tablese/ec-u19-2015.html,0/1,-
/tablese/ec-u19-2016.html,0/1,-
/tablese/ec-u19-2017.html,0/1,-
/tablese/ec-u19-2018.html,0/1,-
/tablese/ec-u19-2019.html,0/1,-
/tablese/ec-u19-2022.html,0/2,-
/tablese/ec-u19-2023.html,0/2,-
/tablese/ec-u19-2024.html,5/3,European U-19 Championship 2024
/tablese/ec-u19-2025.html,3/3,European U-19 Championship 2025
/tablese/ec1.html,73/5,European Champions' Cup/Champions League
/tablese/ec2.html,42/2,European Cup Winners' Cup
/tablese/ec3a.html,15/2,Fairs' Cup
/tablese/ec3b.html,57/6,UEFA Cup/Europa League
/tablese/ec4.html,5/1,UEFA Conference League
/tablese/eco93.html,2/2,"ECO Tournament 1993 - Tehran, Iran"
/tablese/ecowassummit.html,2/3,ECOWAS Summit Football Tournaments
/tablese/ecsf.html,2/1,European Cups Semifinal Balance
/tablese/ecua-amachamp.html,5/5,Ecuador - List of Amateur Champions Guayas and Pichincha
/tablese/ecua-intres.html,5/1,Ecuador - International Results
/tablese/ecua-intres2004.html,0/1,-
/tablese/ecua-intres2005.html,0/1,-
/tablese/ecua-intres2006.html,0/1,-
/tablese/ecua-intres2007.html,0/1,-
/tablese/ecua-native2015.html,1/1,"Ecuador - ""Native Football"" 2015"
/tablese/ecua-unoff-intres.html,1/1,Ecuador - Unofficial Matches National Team
/tablese/ecua00.html,0/1,-
/tablese/ecua01.html,0/1,-
/tablese/ecua02.html,0/1,-
/tablese/ecua03.html,0/1,-
/tablese/ecua04.html,0/1,-
/tablese/ecua05.html,0/1,-
/tablese/ecua06.html,0/1,-
/tablese/ecua07.html,0/1,-
/tablese/ecua08.html,0/1,-
/tablese/ecua09.html,0/1,-
/tablese/ecua2010.html,0/1,-
/tablese/ecua2011.html,0/1,-
/tablese/ecua2012.html,0/1,-
/tablese/ecua2013.html,0/1,-
/tablese/ecua2014.html,0/1,-
/tablese/ecua2015.html,0/1,-
/tablese/ecua2016.html,0/1,-
/tablese/ecua2017.html,0/1,-
/tablese/ecua2018.html,0/1,-
/tablese/ecua2019.html,0/1,-
/tablese/ecua2020.html,0/1,-
/tablese/ecua2021.html,0/1,-
/tablese/ecua2022.html,0/1,-
/tablese/ecua2023.html,0/2,-
/tablese/ecua2024.html,14/2,Ecuador 2024
/tablese/ecua2025.html,13/3,Ecuador 2025
/tablese/ecua2champ.html,1/2,Ecuador - List of Second and Third Division Champions
/tablese/ecua2tops.html,1/2,Ecuador - List of Second Level Topscorers
/tablese/ecua32.html,0/1,-
/tablese/ecua51.html,0/1,-
/tablese/ecua52.html,0/1,-
/tablese/ecua53.html,0/1,-
/tablese/ecua54.html,0/2,-
/tablese/ecua55.html,0/2,-
/tablese/ecua56.html,0/1,-
/tablese/ecua57.html,0/3,-
/tablese/ecua58.html,0/1,-
/tablese/ecua59.html,0/1,-
/tablese/ecua60.html,0/4,-
/tablese/ecua61.html,0/4,-
/tablese/ecua62.html,0/4,-
/tablese/ecua63.html,0/4,-
/tablese/ecua64.html,0/4,-
/tablese/ecua65.html,0/4,-
/tablese/ecua66.html,0/4,-
/tablese/ecua67.html,0/4,-
/tablese/ecua68.html,0/2,-
/tablese/ecua69.html,0/2,-
/tablese/ecua70.html,0/2,-
/tablese/ecua71.html,0/2,-
/tablese/ecua72.html,0/2,-
/tablese/ecua73.html,0/2,-
/tablese/ecua74.html,0/2,-
/tablese/ecua75.html,0/2,-
/tablese/ecua76.html,0/2,-
/tablese/ecua77.html,0/2,-
/tablese/ecua78.html,0/2,-
/tablese/ecua79.html,0/2,-
/tablese/ecua80.html,0/2,-
/tablese/ecua81.html,0/2,-
/tablese/ecua82.html,0/2,-
/tablese/ecua83.html,0/2,-
/tablese/ecua84.html,0/2,-
/tablese/ecua85.html,0/2,-
/tablese/ecua86.html,0/2,-
/tablese/ecua87.html,0/2,-
/tablese/ecua88.html,0/2,-
/tablese/ecua89.html,0/2,-
/tablese/ecua90.html,0/2,-
/tablese/ecua91.html,0/2,-
/tablese/ecua92.html,0/2,-
/tablese/ecua93.html,0/2,-
/tablese/ecua94.html,0/2,-
/tablese/ecua95.html,0/2,-
/tablese/ecua96.html,0/2,-
/tablese/ecua97.html,0/2,-
/tablese/ecua98.html,0/1,-
/tablese/ecua99.html,0/1,-
/tablese/ecuaalltime.html,1/2,Ecuador - All-Time Table
/tablese/ecuaamaprovchamp.html,0/1,-
/tablese/ecuaandeschamp.html,14/7,Ecuador - List of Champions and Runners-up Interandinos
/tablese/ecuachamp.html,73/5,Ecuador - List of Champions
/tablese/ecuacostachamp.html,21/6,Ecuador - List of Champions Costa
/tablese/ecuafound.html,1/2,Ecuador - Foundation Dates of Clubs
/tablese/ecuahist.html,40/3,Ecuador - List of Final Tables
