path,links,title
/tablesf/falk01.html,0/1,-
/tablesf/falk04.html,0/1,-
/tablesf/falk05.html,0/1,-
/tablesf/falk07.html,0/1,-
/tablesf/falk09.html,0/1,-
/tablesf/falk2010.html,0/1,-
/tablesf/falk2011.html,0/1,-
/tablesf/falk2012.html,0/1,-
/tablesf/falk2013.html,0/1,-
/tablesf/falk2014.html,0/1,-
/tablesf/falk2015.html,0/1,-
/tablesf/falk2016.html,0/1,-
/tablesf/falk2021.html,0/1,-
/tablesf/falk2022.html,0/1,-
/tablesf/falk2024.html,0/2,-
/tablesf/falk2025.html,4/2,Falkland Islands 2024/25
/tablesf/falk2026.html,3/3,Falkland Islands 2025/26
/tablesf/falkchamp.html,20/2,Falkland Islands - List of Champions
/tablesf/falkland-intres.html,2/1,Falkland Islands - International Matches
/tablesf/falkland-zchile97.html,0/1,-
/tablesf/falkoud.html,0/1,-
/tablesf/famfas05.html,1/1,FAM-FAS Cups 2005
/tablesf/far-intres.html,36/1,Faroe Islands - List of International Matches
/tablesf/far-intres1988.html,0/1,-
/tablesf/far-intres1990.html,0/1,-
/tablesf/far-intres1991.html,0/1,-
/tablesf/far-intres1992.html,0/1,-
/tablesf/far-intres1993.html,0/1,-
/tablesf/far-intres1994.html,0/1,-
/tablesf/far-intres1995.html,0/1,-
/tablesf/far-intres1996.html,0/1,-
/tablesf/far-intres1997.html,0/1,-
/tablesf/far-intres1998.html,0/1,-
/tablesf/far-intres1999.html,0/1,-
/tablesf/far-intres2000.html,0/1,-
/tablesf/far-intres2001.html,0/1,-
/tablesf/far-intres2002.html,0/1,-
/tablesf/far-intres2003.html,0/1,-
/tablesf/far-intres2004.html,0/1,-
/tablesf/far-intres2005.html,0/1,-
/tablesf/far-intres2006.html,0/1,-
/tablesf/far-intres2007.html,0/1,-
/tablesf/far-intres2008.html,0/1,-
/tablesf/far-intres2009.html,0/1,-
/tablesf/far-intres2010.html,0/1,-
/tablesf/far-intres2011.html,0/1,-
