path,links,title
/tablesg/gab-intres.html,2/1,Gabon - List of International Matches
/tablesg/gab-intres-detwcq.html,0/1,-
/tablesg/gab00.html,0/1,-
/tablesg/gab01.html,0/2,-
/tablesg/gab02.html,0/2,-
/tablesg/gab03.html,0/2,-
/tablesg/gab04.html,0/2,-
/tablesg/gab05.html,0/2,-
/tablesg/gab06.html,0/2,-
/tablesg/gab07.html,0/2,-
/tablesg/gab08.html,0/2,-
/tablesg/gab09.html,0/2,-
/tablesg/gab2010.html,0/2,-
/tablesg/gab2011.html,0/2,-
/tablesg/gab2012.html,0/2,-
/tablesg/gab2013.html,0/2,-
/tablesg/gab2014.html,0/1,-
/tablesg/gab2015.html,0/2,-
/tablesg/gab2016.html,0/2,-
/tablesg/gab2017.html,0/1,-
/tablesg/gab2018.html,0/1,-
/tablesg/gab2019.html,0/2,-
/tablesg/gab2020.html,0/2,-
/tablesg/gab2022.html,0/1,-
/tablesg/gab2023.html,0/1,-
/tablesg/gab2024.html,0/1,-
/tablesg/gab2025.html,5/2,Gabon 2024/25
/tablesg/gab2026.html,4/3,Gabon 2026
/tablesg/gab77.html,0/2,-
/tablesg/gab78.html,0/2,-
/tablesg/gab79.html,0/2,-
/tablesg/gab80.html,0/1,-
/tablesg/gab81.html,0/1,-
/tablesg/gab82.html,0/1,-
/tablesg/gab83.html,0/1,-
/tablesg/gab84.html,0/2,-
/tablesg/gab85.html,0/2,-
/tablesg/gab86.html,0/2,-
/tablesg/gab87.html,0/2,-
/tablesg/gab88.html,0/2,-
/tablesg/gab89.html,0/2,-
/tablesg/gab90.html,0/2,-
/tablesg/gab91.html,0/2,-
/tablesg/gab92.html,0/2,-
/tablesg/gab93.html,0/2,-
/tablesg/gab94.html,0/2,-
/tablesg/gab95.html,0/1,-
/tablesg/gab96.html,0/2,-
/tablesg/gab97.html,0/2,-
/tablesg/gab98.html,0/2,-
/tablesg/gab99.html,0/2,-
/tablesg/gabchamp.html,50/2,Gabon - List of Champions
/tablesg/gabcuphist.html,36/2,Gabon - List of Cup Winners
/tablesg/galicia-intres.html,1/1,Galicia Autonomous Team Matches
/tablesg/gamb-intres.html,1/1,Gambia - List of International Matches
/tablesg/gamb00.html,0/2,-
/tablesg/gamb01.html,0/2,-
/tablesg/gamb02.html,0/2,-
/tablesg/gamb03.html,0/2,-
/tablesg/gamb04.html,0/2,-
/tablesg/gamb05.html,0/2,-
/tablesg/gamb06.html,0/2,-
/tablesg/gamb07.html,0/2,-
/tablesg/gamb08.html,0/2,-
/tablesg/gamb09.html,0/2,-
/tablesg/gamb2011.html,0/2,-
/tablesg/gamb2012.html,0/2,-
/tablesg/gamb2013.html,0/2,-
/tablesg/gamb2014.html,0/2,-
/tablesg/gamb2015.html,0/2,-
/tablesg/gamb2016.html,0/1,-
/tablesg/gamb2017.html,0/1,-
/tablesg/gamb2018.html,0/2,-
/tablesg/gamb2019.html,0/2,-
/tablesg/gamb2020.html,0/1,-
/tablesg/gamb2021.html,0/1,-
/tablesg/gamb2022.html,0/2,-
/tablesg/gamb2023.html,0/1,-
/tablesg/gamb2024.html,0/3,-
/tablesg/gamb2025.html,5/3,Gambia 2024/25
/tablesg/gamb2026.html,4/4,Gambia 2025/26
/tablesg/gamb3-2010.html,0/2,-
/tablesg/gamb40.html,0/1,-
/tablesg/gamb52.html,0/1,-
/tablesg/gamb55.html,0/1,-
/tablesg/gamb56.html,0/1,-
/tablesg/gamb60.html,0/1,-
/tablesg/gamb68.html,0/2,-
/tablesg/gamb70.html,0/1,-
/tablesg/gamb75.html,0/1,-
/tablesg/gamb76.html,0/1,-
/tablesg/gamb83.html,0/1,-
/tablesg/gamb89.html,0/1,-
/tablesg/gamb92.html,0/1,-
/tablesg/gamb95.html,0/2,-
/tablesg/gamb96.html,0/1,-
/tablesg/gamb97.html,0/2,-
/tablesg/gamb98.html,0/2,-
/tablesg/gamb99.html,0/2,-
/tablesg/gambchamp.html,42/2,Gambia Champions
/tablesg/gambcuphist.html,32/2,Gambia Cup Winners
/tablesg/ganefo.html,3/1,Games of the New Emerging Forces (GANEFO) 1963-1966
/tablesg/gbis-intres.html,1/1,Guinea Bissau - List of International Matches
/tablesg/gbis00.html,0/2,-
/tablesg/gbis01.html,0/2,-
/tablesg/gbis02.html,0/2,-
/tablesg/gbis03.html,0/2,-
/tablesg/gbis04.html,0/2,-
/tablesg/gbis05.html,0/2,-
/tablesg/gbis06.html,0/2,-
/tablesg/gbis07.html,0/2,-
/tablesg/gbis08.html,0/2,-
/tablesg/gbis09.html,0/1,-
/tablesg/gbis2010.html,0/2,-
/tablesg/gbis2011.html,0/2,-
/tablesg/gbis2012.html,0/1,-
/tablesg/gbis2013.html,0/2,-
/tablesg/gbis2014.html,0/2,-
/tablesg/gbis2015.html,0/2,-
/tablesg/gbis2016.html,0/1,-
/tablesg/gbis2017.html,0/2,-
/tablesg/gbis2018.html,0/2,-
/tablesg/gbis2019.html,0/2,-
/tablesg/gbis2020.html,0/2,-
/tablesg/gbis2021.html,0/2,-
/tablesg/gbis2022.html,0/2,-
/tablesg/gbis2023.html,0/2,-
/tablesg/gbis2024.html,0/3,-
/tablesg/gbis2025.html,5/3,Guinea Bissau 2024/25
/tablesg/gbis2026.html,4/4,Guinea Bissau 2025/26
/tablesg/gbis75.html,0/1,-
/tablesg/gbis76.html,0/2,-
/tablesg/gbis77.html,0/2,-
/tablesg/gbis78.html,0/2,-
/tablesg/gbis79.html,0/2,-
/tablesg/gbis80.html,0/2,-
/tablesg/gbis81.html,0/2,-
/tablesg/gbis82.html,0/2,-
/tablesg/gbis83.html,0/2,-
/tablesg/gbis84.html,0/2,-
/tablesg/gbis85.html,0/2,-
/tablesg/gbis86.html,0/2,-
/tablesg/gbis87.html,0/2,-
/tablesg/gbis88.html,0/2,-
/tablesg/gbis89.html,0/2,-
/tablesg/gbis90.html,0/2,-
/tablesg/gbis91.html,0/2,-
/tablesg/gbis92.html,0/2,-
/tablesg/gbis93.html,0/1,-
/tablesg/gbis94.html,0/2,-
/tablesg/gbis95.html,0/1,-
/tablesg/gbis96.html,0/2,-
/tablesg/gbis97.html,0/1,-
/tablesg/gbischamp.html,51/2,Guinea Bissau - List of Champions
/tablesg/gbiscuphist.html,44/2,Guinea Bissau - List of Cup Winners
/tablesg/gc5557.html,1/1,Grasshoppers Trophy 1952-57
/tablesg/gcz-argtrip92.html,1/1,Grasshopper-Club Zürich Trip to Argentina 1992
/tablesg/gdr1950.html,0/1,-
/tablesg/gdr1960.html,0/1,-
/tablesg/gdr1970.html,0/1,-
/tablesg/gdr1980.html,0/1,-
/tablesg/gdrb.html,0/1,-
/tablesg/geor-ec.html,2/1,Georgian Clubs in European Cups
/tablesg/geor-intres.html,2/1,Georgia - International Results
/tablesg/geor00.html,0/1,-
/tablesg/geor01.html,0/1,-
/tablesg/geor02.html,0/1,-
/tablesg/geor03.html,0/1,-
/tablesg/geor04.html,0/1,-
/tablesg/geor05.html,0/1,-
/tablesg/geor06.html,0/1,-
/tablesg/geor07.html,0/1,-
/tablesg/geor08.html,0/1,-
/tablesg/geor09.html,0/1,-
/tablesg/geor2010.html,0/2,-
/tablesg/geor2011.html,0/2,-
/tablesg/geor2012.html,0/2,-
/tablesg/geor2013.html,0/2,-
/tablesg/geor2014.html,0/2,-
/tablesg/geor2015.html,0/2,-
/tablesg/geor2016.html,0/2,-
/tablesg/geor2016a.html,0/2,-
/tablesg/geor2017.html,0/2,-
/tablesg/geor2018.html,0/2,-
/tablesg/geor2019.html,0/2,-
/tablesg/geor2020.html,0/2,-
/tablesg/geor2021.html,0/3,-
/tablesg/geor2022.html,0/3,-
/tablesg/geor2023.html,0/2,-
/tablesg/geor2024.html,0/3,-
/tablesg/geor2025.html,7/3,Georgia 2025
/tablesg/geor2026.html,6/4,Georgia 2026
/tablesg/geor90.html,0/2,-
/tablesg/geor91.html,0/1,-
/tablesg/geor92.html,0/2,-
/tablesg/geor93.html,0/2,-
/tablesg/geor94.html,0/2,-
/tablesg/geor95.html,0/2,-
/tablesg/geor96.html,0/2,-
/tablesg/geor97.html,0/1,-
/tablesg/geor98.html,0/1,-
/tablesg/geor99.html,0/1,-
/tablesg/georchamp.html,41/2,Georgia - List of Champions
/tablesg/georcup00.html,0/1,-
/tablesg/georcup01.html,0/1,-
/tablesg/georcup02.html,0/1,-
/tablesg/georcup03.html,0/1,-
/tablesg/georcup04.html,0/1,-
/tablesg/georcup05.html,0/1,-
/tablesg/georcup06.html,0/1,-
/tablesg/georcup07.html,0/1,-
/tablesg/georcup08.html,0/1,-
/tablesg/georcup09.html,0/1,-
/tablesg/georcup97.html,0/1,-
/tablesg/georcup98.html,0/1,-
/tablesg/georcup99.html,0/1,-
/tablesg/georcuphist.html,40/2,Georgia - List of Cup Winners
/tablesg/georcuphistfin.html,0/1,-
/tablesg/georhist.html,0/1,-
/tablesg/georsupcuphist.html,3/2,Georgia - List of Super Cup Finals
/tablesg/geortops.html,1/2,Georgia - List of Topscorers
/tablesg/gha-intres.html,1/1,Ghana (formerly Gold Coast) - List of International Matches
/tablesg/gha00.html,0/3,-
/tablesg/gha01.html,0/2,-
/tablesg/gha02.html,0/1,-
/tablesg/gha03.html,0/1,-
/tablesg/gha04.html,0/2,-
/tablesg/gha05.html,0/2,-
/tablesg/gha07.html,0/2,-
/tablesg/gha08.html,0/2,-
/tablesg/gha09.html,0/2,-
/tablesg/gha2010.html,0/1,-
/tablesg/gha2011.html,0/2,-
/tablesg/gha2012.html,0/2,-
/tablesg/gha2013.html,0/2,-
/tablesg/gha2014.html,0/2,-
/tablesg/gha2015.html,0/2,-
/tablesg/gha2016.html,0/2,-
/tablesg/gha2017.html,0/2,-
/tablesg/gha2018.html,0/2,-
/tablesg/gha2019.html,0/1,-
/tablesg/gha2020.html,0/2,-
/tablesg/gha2021.html,0/2,-
/tablesg/gha2022.html,0/2,-
/tablesg/gha2023.html,0/2,-
/tablesg/gha2024.html,0/3,-
/tablesg/gha2025.html,7/3,Ghana 2024/25
/tablesg/gha2026.html,6/4,Ghana 2025/26
/tablesg/gha53.html,0/1,-
/tablesg/gha56.html,0/2,-
/tablesg/gha58.html,0/3,-
/tablesg/gha59.html,0/1,-
/tablesg/gha60.html,0/2,-
/tablesg/gha61.html,0/2,-
/tablesg/gha62.html,0/2,-
/tablesg/gha63.html,0/2,-
/tablesg/gha66.html,0/3,-
/tablesg/gha69.html,0/2,-
/tablesg/gha70.html,0/2,-
/tablesg/gha71.html,0/3,-
/tablesg/gha73.html,0/1,-
/tablesg/gha74.html,0/2,-
/tablesg/gha79.html,0/1,-
/tablesg/gha86.html,0/1,-
/tablesg/gha90.html,0/3,-
/tablesg/gha91.html,0/2,-
/tablesg/gha92.html,0/2,-
/tablesg/gha93.html,0/2,-
/tablesg/gha94.html,0/3,-
/tablesg/gha95.html,0/3,-
/tablesg/gha96.html,0/3,-
/tablesg/gha97.html,0/3,-
/tablesg/gha98.html,0/3,-
/tablesg/gha99.html,0/3,-
/tablesg/ghachamp.html,51/2,Ghana - List of Champions
/tablesg/ghacup06.html,0/1,-
/tablesg/ghacuphist.html,38/2,Ghana - List of Cup Winners
/tablesg/ghahist.html,24/3,Ghana - List of Final Tables
/tablesg/ghatops.html,1/2,Ghana - List of Topscorers
/tablesg/gib-intres.html,2/1,Gibraltar - List of International Matches
/tablesg/gib00.html,0/3,-
/tablesg/gib01.html,0/3,-
/tablesg/gib02.html,0/3,-
/tablesg/gib03.html,0/3,-
/tablesg/gib04.html,0/4,-
/tablesg/gib05.html,0/4,-
/tablesg/gib06.html,0/4,-
/tablesg/gib07.html,0/4,-
/tablesg/gib08.html,0/4,-
/tablesg/gib09.html,0/3,-
/tablesg/gib1908.html,0/1,-
/tablesg/gib1909.html,0/1,-
/tablesg/gib2010.html,0/4,-
/tablesg/gib2011.html,0/3,-
/tablesg/gib2012.html,0/3,-
/tablesg/gib2013.html,0/3,-
/tablesg/gib2014.html,0/4,-
/tablesg/gib2015.html,0/3,-
/tablesg/gib2016.html,0/2,-
/tablesg/gib2017.html,0/2,-
/tablesg/gib2018.html,0/2,-
/tablesg/gib2019.html,0/2,-
/tablesg/gib2020.html,0/2,-
/tablesg/gib2021.html,0/2,-
/tablesg/gib2022.html,0/3,-
/tablesg/gib2023.html,0/2,-
/tablesg/gib2024.html,0/3,-
/tablesg/gib2025.html,7/4,Gibraltar 2024/25
/tablesg/gib2026.html,6/4,Gibraltar 2025/26
/tablesg/gib51.html,0/1,-
/tablesg/gib52.html,0/1,-
/tablesg/gib53.html,0/1,-
/tablesg/gib88.html,0/1,-
/tablesg/gib94.html,0/1,-
/tablesg/gib95.html,0/1,-
/tablesg/gib99.html,0/1,-
/tablesg/gibchamp.html,37/2,Gibraltar - List of Champions
/tablesg/gibcuphist.html,29/2,Gibraltar - List of Cup Winners
/tablesg/gibleagcuphist.html,10/2,Gibraltar - List of League Cup Finals
/tablesg/gibsupcuphist.html,17/3,Gibraltar - List of Super Cup Finals
/tablesg/gold-cam01.html,0/1,-
/tablesg/gold-cam03.html,0/1,-
/tablesg/gold-cam05.html,0/1,-
/tablesg/gold-cam07.html,0/1,-
/tablesg/gold-cam09.html,0/1,-
/tablesg/gold-cam2011.html,0/1,-
/tablesg/gold-cam2013.html,0/2,-
/tablesg/gold-cam2014.html,6/3,Copa Centroamericana 2014 (UNCAF Nations Cup)
/tablesg/gold-cam2014det.html,0/1,-
/tablesg/gold-cam2017.html,4/4,Copa Centroamericana 2017 (UNCAF Nations Cup)
/tablesg/gold-cam91.html,0/1,-
/tablesg/gold-cam93.html,0/1,-
/tablesg/gold-cam95.html,0/1,-
/tablesg/gold-cam97.html,0/1,-
/tablesg/gold-cam99.html,0/1,-
/tablesg/gold-car91.html,0/1,-
/tablesg/gold-car93.html,0/1,-
/tablesg/gold-car95.html,0/1,-
/tablesg/gold-car97.html,0/1,-
/tablesg/goldcupall.html,21/7,Gold Cup
/tablesg/gozo05.html,0/2,-
/tablesg/gozo06.html,0/3,-
/tablesg/gozo07.html,0/3,-
/tablesg/gozo08.html,0/3,-
/tablesg/gozo09.html,0/3,-
/tablesg/gozo2010.html,0/3,-
/tablesg/gozo2011.html,0/3,-
/tablesg/gozo2012.html,0/3,-
/tablesg/gozo2013.html,0/3,-
/tablesg/gozo2014.html,0/3,-
/tablesg/gozo2015.html,0/3,-
/tablesg/gozo2016.html,0/3,-
/tablesg/gozo2017.html,0/2,-
/tablesg/gozo2018.html,0/3,-
/tablesg/gozo2019.html,0/3,-
/tablesg/gozo2020.html,0/3,-
/tablesg/gozo2021.html,0/2,-
/tablesg/gozo2022.html,0/3,-
/tablesg/gozo2023.html,0/3,-
/tablesg/gozo2024.html,0/5,-
/tablesg/gozo2025.html,8/4,Gozo 2024/25
/tablesg/gozo2026.html,6/5,Gozo 2025/26
/tablesg/gozo2champ.html,23/2,Gozo - List of Second and Third Level Champions
/tablesg/gozo2hist.html,0/1,-
/tablesg/gozo3hist.html,0/1,-
/tablesg/gozochamp.html,30/3,Gozo - List of Champions
/tablesg/gozocuphist.html,23/2,Gozo - List of Cup Winners
/tablesg/gozohist.html,2/4,Gozo - Final Tables
/tablesg/grenada-intres.html,1/1,Grenada - List of International Matches
/tablesg/grenada00.html,0/1,-
/tablesg/grenada01.html,0/1,-
/tablesg/grenada02.html,0/1,-
/tablesg/grenada03.html,0/1,-
/tablesg/grenada04.html,0/1,-
/tablesg/grenada05.html,0/1,-
/tablesg/grenada06.html,0/1,-
/tablesg/grenada07.html,0/1,-
/tablesg/grenada08.html,0/1,-
/tablesg/grenada09.html,0/1,-
/tablesg/grenada2010.html,0/2,-
/tablesg/grenada2011.html,0/2,-
/tablesg/grenada2012.html,0/2,-
/tablesg/grenada2013.html,0/2,-
/tablesg/grenada2014.html,0/2,-
/tablesg/grenada2015.html,0/2,-
/tablesg/grenada2016.html,0/2,-
/tablesg/grenada2017.html,0/2,-
/tablesg/grenada2019.html,0/2,-
/tablesg/grenada2020.html,0/2,-
/tablesg/grenada2021.html,0/2,-
