path,links,title
/tablesh/haiti-intres.html,1/1,Haiti - List of International Matches
/tablesh/haiti00.html,0/1,-
/tablesh/haiti01.html,0/1,-
/tablesh/haiti02.html,0/1,-
/tablesh/haiti03.html,0/1,-
/tablesh/haiti04.html,0/1,-
/tablesh/haiti05.html,0/1,-
/tablesh/haiti06.html,0/2,-
/tablesh/haiti07.html,0/2,-
/tablesh/haiti08.html,0/2,-
/tablesh/haiti09.html,0/2,-
/tablesh/haiti13.html,0/1,-
/tablesh/haiti2010.html,0/2,-
/tablesh/haiti2011.html,0/2,-
/tablesh/haiti2012.html,0/2,-
/tablesh/haiti2013.html,0/2,-
/tablesh/haiti2014.html,0/2,-
/tablesh/haiti2015.html,0/2,-
/tablesh/haiti2016.html,0/1,-
/tablesh/haiti2017.html,0/1,-
/tablesh/haiti2018.html,0/2,-
/tablesh/haiti2019.html,0/1,-
/tablesh/haiti2020.html,0/1,-
/tablesh/haiti2021.html,0/1,-
/tablesh/haiti2024.html,0/2,-
/tablesh/haiti2025.html,6/2,Haiti 2025
/tablesh/haiti2026.html,5/3,Haiti 2025/26
/tablesh/haiti24.html,0/1,-
/tablesh/haiti25b.html,0/1,-
/tablesh/haiti26.html,0/1,-
/tablesh/haiti31.html,0/1,-
/tablesh/haiti32.html,0/2,-
/tablesh/haiti35.html,0/1,-
/tablesh/haiti43.html,0/1,-
/tablesh/haiti47.html,0/1,-
/tablesh/haiti50.html,0/1,-
/tablesh/haiti51.html,0/1,-
/tablesh/haiti54.html,0/1,-
/tablesh/haiti75.html,0/1,-
/tablesh/haiti77.html,0/1,-
/tablesh/haiti89.html,0/1,-
/tablesh/haiti91.html,0/1,-
/tablesh/haiti92.html,0/1,-
/tablesh/haiti93.html,0/1,-
/tablesh/haiti97.html,0/1,-
/tablesh/haiti99.html,0/1,-
/tablesh/haitichamp.html,46/3,Haiti - List of Champions
/tablesh/haiticuphist.html,15/2,Haiti - List of Cup Winners
/tablesh/haitifound.html,2/2,Haiti - List of Foundation Dates
/tablesh/hawaii00.html,0/1,-
/tablesh/hawaii01.html,0/1,-
/tablesh/hawaii02.html,0/1,-
/tablesh/hawaii03.html,0/1,-
/tablesh/hawaii05a.html,0/1,-
/tablesh/hawaii06.html,0/1,-
/tablesh/hawaii08.html,0/1,-
/tablesh/hawaii09.html,0/1,-
/tablesh/hawaii1901.html,0/1,-
/tablesh/hawaii1902.html,0/1,-
/tablesh/hawaii1903.html,0/1,-
/tablesh/hawaii1904.html,0/1,-
/tablesh/hawaii1905.html,0/1,-
/tablesh/hawaii1906.html,0/1,-
/tablesh/hawaii1907.html,0/1,-
/tablesh/hawaii1908.html,0/1,-
/tablesh/hawaii1909.html,0/1,-
/tablesh/hawaii1910.html,0/1,-
/tablesh/hawaii1911.html,0/1,-
/tablesh/hawaii1912.html,0/1,-
/tablesh/hawaii1913.html,0/1,-
/tablesh/hawaii1914.html,0/1,-
/tablesh/hawaii1920.html,0/1,-
/tablesh/hawaii1921.html,0/1,-
/tablesh/hawaii1922.html,0/1,-
/tablesh/hawaii1923.html,0/1,-
/tablesh/hawaii1928.html,0/1,-
/tablesh/hawaii1930.html,0/1,-
/tablesh/hawaii1935.html,0/1,-
/tablesh/hawaii1936.html,0/1,-
/tablesh/hawaii1937.html,0/1,-
/tablesh/hawaii1938.html,0/1,-
/tablesh/hawaii1939.html,0/1,-
/tablesh/hawaii1940.html,0/1,-
/tablesh/hawaii1941.html,0/1,-
/tablesh/hawaii2010.html,0/1,-
/tablesh/hawaii2011.html,0/1,-
/tablesh/hawaii2012.html,0/1,-
/tablesh/hawaii2013.html,0/1,-
/tablesh/hawaii2014.html,0/1,-
/tablesh/hawaii2015.html,0/1,-
/tablesh/hawaii2017.html,0/1,-
/tablesh/hawaii2018.html,0/1,-
/tablesh/hawaii2019.html,0/2,-
/tablesh/hawaii2020.html,4/2,Hawaii 2019/20
/tablesh/hawaii2022.html,4/4,Hawaii 2021/22
/tablesh/hawaii2023.html,4/2,Hawaii 2022/23
/tablesh/hawaii2024.html,0/2,-
/tablesh/hawaii2025.html,0/1,-
/tablesh/hawaii88.html,0/1,-
/tablesh/hawaiichamp.html,52/3,Hawaii - List of Champions
/tablesh/hectorgomez.html,2/2,Copa Héctor Gómez
/tablesh/hk-intres.html,1/1,Hongkong - List of International Matches
/tablesh/hk00.html,0/3,-
/tablesh/hk01.html,0/3,-
/tablesh/hk02.html,0/3,-
/tablesh/hk03.html,0/4,-
/tablesh/hk04.html,0/3,-
/tablesh/hk05.html,0/4,-
/tablesh/hk06.html,0/4,-
/tablesh/hk07.html,0/4,-
/tablesh/hk08.html,0/4,-
/tablesh/hk09.html,0/4,-
/tablesh/hk1896.html,0/1,-
/tablesh/hk1897.html,0/1,-
/tablesh/hk1909.html,0/1,-
/tablesh/hk1910.html,0/1,-
/tablesh/hk1913.html,0/1,-
/tablesh/hk1915.html,0/1,-
/tablesh/hk1919.html,0/1,-
/tablesh/hk2010.html,0/4,-
/tablesh/hk2011.html,0/4,-
/tablesh/hk2012.html,0/4,-
/tablesh/hk2013.html,0/4,-
/tablesh/hk2014.html,0/4,-
/tablesh/hk2015.html,0/4,-
/tablesh/hk2016.html,0/4,-
/tablesh/hk2017.html,0/4,-
/tablesh/hk2018.html,0/4,-
/tablesh/hk2019.html,0/4,-
/tablesh/hk2020.html,0/4,-
