path,links,title
/tablesi/iberica05.html,2/2,Recopa Ibérica 2005
/tablesi/iberica83.html,2/2,Taça Ibérica 1983
/tablesi/ibero.html,3/1,Copa Iberoamericana
/tablesi/ier-b-intres.html,1/1,Ireland - 'B' Internationals
/tablesi/ier-ec.html,1/1,Irish Clubs in European Cups
/tablesi/ier-intres.html,2/4,Ireland - International Results
/tablesi/ier-u21-intres.html,1/1,Ireland - U-21 Internationals
/tablesi/ier-u23-intres.html,1/1,Ireland - U-23 Internationals
/tablesi/ier00.html,0/1,-
/tablesi/ier01.html,0/1,-
/tablesi/ier02.html,0/1,-
/tablesi/ier03.html,0/1,-
/tablesi/ier03a.html,0/1,-
/tablesi/ier04.html,0/1,-
/tablesi/ier05.html,0/1,-
/tablesi/ier06.html,0/1,-
/tablesi/ier07.html,0/1,-
/tablesi/ier08.html,0/1,-
/tablesi/ier09.html,0/3,-
/tablesi/ier2010.html,0/3,-
/tablesi/ier2011.html,0/3,-
/tablesi/ier2012.html,0/3,-
/tablesi/ier2013.html,0/3,-
/tablesi/ier2014.html,0/3,-
/tablesi/ier2015.html,0/3,-
/tablesi/ier2016.html,0/3,-
/tablesi/ier2017.html,0/3,-
/tablesi/ier2018.html,0/3,-
/tablesi/ier2019.html,0/3,-
/tablesi/ier2020.html,0/3,-
/tablesi/ier2021.html,0/2,-
/tablesi/ier2022.html,0/2,-
/tablesi/ier2023.html,0/3,-
/tablesi/ier2024.html,14/3,Ireland 2024
/tablesi/ier2025.html,13/4,Ireland 2025
/tablesi/ier2champ.html,1/2,Republic of Ireland - Second Level Champions
/tablesi/ier2hist.html,1/2,(Republic of) Ireland League Tables - Second Level
/tablesi/ier49.html,0/4,-
/tablesi/ier67.html,0/3,-
/tablesi/ier94.html,0/1,-
/tablesi/ier95.html,0/1,-
/tablesi/ier96.html,0/1,-
/tablesi/ier97.html,0/1,-
/tablesi/ier98.html,0/1,-
/tablesi/ier99.html,0/1,-
/tablesi/ieralltime.html,1/2,Ireland - All-Time Table
/tablesi/ierchamp.html,37/2,Republic of Ireland - Champions
/tablesi/iercup00.html,0/1,-
/tablesi/iercup01.html,0/1,-
/tablesi/iercup02.html,0/1,-
/tablesi/iercup03.html,0/1,-
/tablesi/iercup03a.html,0/1,-
/tablesi/iercup04.html,0/1,-
