path,links,title
/tablesj/jakarta-tri57.html,0/1,-
/tablesj/jam-intres.html,5/1,Jamaica - List of International Matches
/tablesj/jam-intres-det.html,0/1,-
/tablesj/jam-intres-det2.html,0/1,-
/tablesj/jam-intres-detgc.html,0/1,-
/tablesj/jam-intres-detwcq.html,0/1,-
/tablesj/jam00.html,0/2,-
/tablesj/jam01.html,0/2,-
/tablesj/jam02.html,0/2,-
/tablesj/jam03.html,0/2,-
/tablesj/jam04.html,0/2,-
/tablesj/jam05.html,0/2,-
/tablesj/jam06.html,0/2,-
/tablesj/jam07.html,0/2,-
/tablesj/jam08.html,0/2,-
/tablesj/jam09.html,0/2,-
/tablesj/jam1899.html,0/1,-
/tablesj/jam2010.html,0/2,-
/tablesj/jam2011.html,0/2,-
/tablesj/jam2012.html,0/2,-
/tablesj/jam2013.html,0/2,-
/tablesj/jam2014.html,0/2,-
/tablesj/jam2015.html,0/2,-
/tablesj/jam2016.html,0/2,-
/tablesj/jam2017.html,0/2,-
/tablesj/jam2018.html,0/2,-
/tablesj/jam2019.html,0/1,-
/tablesj/jam2020.html,0/1,-
/tablesj/jam2021.html,0/1,-
/tablesj/jam2022.html,0/1,-
/tablesj/jam2023.html,0/1,-
/tablesj/jam2024.html,0/2,-
/tablesj/jam2025.html,5/2,Jamaica 2024/25
/tablesj/jam2026.html,4/3,Jamaica 2025/26
/tablesj/jam34.html,0/1,-
/tablesj/jam52.html,0/2,-
/tablesj/jam74.html,0/1,-
/tablesj/jam75.html,0/1,-
/tablesj/jam77.html,0/2,-
/tablesj/jam78.html,0/1,-
/tablesj/jam79.html,0/1,-
/tablesj/jam80.html,0/2,-
/tablesj/jam82.html,0/1,-
/tablesj/jam83.html,0/1,-
/tablesj/jam85.html,0/1,-
/tablesj/jam97.html,0/2,-
/tablesj/jam98.html,0/2,-
/tablesj/jam99.html,0/2,-
/tablesj/jamcas52.html,0/1,-
/tablesj/jamchamp.html,42/2,Jamaica - List of Champions
/tablesj/jamcuphist.html,29/2,Jamaica - List of Cup Winners
/tablesj/jamkchamp.html,0/1,-
/tablesj/jap-eastgames42.html,0/1,-
/tablesj/jap-intres.html,7/1,Japan International Matches
/tablesj/jap-intres1950.html,0/1,-
/tablesj/jap-intres1960.html,0/1,-
/tablesj/jap-intres1970.html,0/1,-
/tablesj/jap-intres1980.html,0/1,-
/tablesj/jap-intres1990.html,0/1,-
/tablesj/jap-intres2000.html,0/1,-
/tablesj/jap00.html,0/5,-
/tablesj/jap01.html,0/5,-
/tablesj/jap02.html,0/5,-
/tablesj/jap03.html,0/5,-
/tablesj/jap04.html,0/5,-
/tablesj/jap2600-40.html,0/1,-
/tablesj/jap65.html,0/2,-
/tablesj/jap66.html,0/2,-
/tablesj/jap67.html,0/2,-
/tablesj/jap68.html,0/2,-
/tablesj/jap69.html,0/2,-
/tablesj/jap70.html,0/2,-
/tablesj/jap71.html,0/2,-
/tablesj/jap72.html,0/2,-
/tablesj/jap73.html,0/2,-
/tablesj/jap74.html,0/2,-
/tablesj/jap75.html,0/2,-
/tablesj/jap76.html,0/3,-
/tablesj/jap77.html,0/3,-
/tablesj/jap78.html,0/3,-
/tablesj/jap79.html,0/3,-
/tablesj/jap80.html,0/3,-
/tablesj/jap81.html,0/3,-
/tablesj/jap82.html,0/3,-
/tablesj/jap83.html,0/3,-
/tablesj/jap84.html,0/3,-
/tablesj/jap86.html,0/3,-
/tablesj/jap87.html,0/3,-
/tablesj/jap88.html,0/3,-
/tablesj/jap89.html,0/3,-
/tablesj/jap90.html,0/3,-
/tablesj/jap91.html,0/3,-
/tablesj/jap92.html,0/3,-
/tablesj/jap93.html,0/3,-
/tablesj/jap94.html,0/3,-
/tablesj/jap95.html,0/2,-
/tablesj/jap96.html,0/3,-
/tablesj/jap97.html,0/4,-
/tablesj/jap98.html,0/4,-
/tablesj/jap99.html,0/5,-
/tablesj/japchamp.html,62/2,Japan - List of Champions
/tablesj/japcuphist.html,62/2,Japan - List of Emperor's Cup Finals
/tablesj/japhist.html,7/3,Japan - List of Final Tables
/tablesj/japleagcuphist.html,49/2,Japan - List of League Cup Winners
/tablesj/japoldempcuphist.html,0/1,-
/tablesj/japskores.html,1/1,Japan-South Korea matches
/tablesj/japsupcuphist.html,13/2,Japan - List of Super Cup Finals
/tablesj/jfernandez-intres.html,1/1,Juan Fernández Islands - List of International Matches
/tablesj/joeg-ec.html,2/1,Yugoslav teams in Eurocups
/tablesj/joeg-intres.html,18/11,Yugoslavia - List of International Matches
/tablesj/joeg-intres-intro.html,0/4,-
/tablesj/joeg-intres20.html,0/1,-
/tablesj/joeg-intres2000.html,0/2,-
/tablesj/joeg-intres30.html,0/1,-
/tablesj/joeg-intres40.html,0/1,-
/tablesj/joeg-intres50.html,0/1,-
/tablesj/joeg-intres60.html,0/1,-
/tablesj/joeg-intres70.html,0/1,-
/tablesj/joeg-intres80.html,0/1,-
/tablesj/joeg-intres90.html,0/2,-
/tablesj/joeg-u18-90-intres.html,0/1,Yugoslavia U-18 Internationals in 1989/1990 season
/tablesj/joeg-wktrip30.html,0/1,-
/tablesj/joeg00.html,0/1,-
/tablesj/joeg01.html,0/1,-
/tablesj/joeg02.html,0/1,-
/tablesj/joeg03.html,0/1,-
/tablesj/joeg04.html,0/1,-
/tablesj/joeg05.html,0/1,-
/tablesj/joeg06.html,0/1,-
/tablesj/joeg24.html,0/3,-
/tablesj/joeg25.html,0/3,-
/tablesj/joeg26.html,0/3,-
/tablesj/joeg27.html,0/3,-
/tablesj/joeg28.html,0/2,-
/tablesj/joeg29.html,0/2,-
/tablesj/joeg2alltime.html,1/2,Serbia and Montenegro/Yugoslavia Second level All-Time Tables
/tablesj/joeg30.html,0/2,-
/tablesj/joeg31.html,0/3,-
/tablesj/joeg32.html,0/2,-
/tablesj/joeg33.html,0/2,-
/tablesj/joeg34.html,0/3,-
/tablesj/joeg35.html,0/2,-
/tablesj/joeg36.html,0/3,-
/tablesj/joeg37.html,0/2,-
/tablesj/joeg38.html,0/3,-
/tablesj/joeg39.html,0/3,-
/tablesj/joeg40.html,0/2,-
/tablesj/joeg41.html,0/3,-
/tablesj/joeg42.html,0/1,-
/tablesj/joeg43.html,0/1,-
/tablesj/joeg44.html,0/1,-
/tablesj/joeg45.html,0/1,-
/tablesj/joeg46.html,0/2,-
/tablesj/joeg47.html,0/2,-
/tablesj/joeg48.html,0/2,-
/tablesj/joeg49.html,0/2,-
/tablesj/joeg50.html,0/2,-
/tablesj/joeg51.html,0/3,-
/tablesj/joeg52.html,0/2,-
/tablesj/joeg53.html,0/2,-
/tablesj/joeg54.html,0/2,-
/tablesj/joeg55.html,0/3,-
/tablesj/joeg56.html,0/2,-
/tablesj/joeg57.html,0/2,-
/tablesj/joeg58.html,0/2,-
/tablesj/joeg59.html,0/2,-
/tablesj/joeg60.html,0/2,-
/tablesj/joeg61.html,0/2,-
/tablesj/joeg62.html,0/2,-
/tablesj/joeg63.html,0/2,-
/tablesj/joeg64.html,0/2,-
/tablesj/joeg65.html,0/2,-
/tablesj/joeg66.html,0/2,-
/tablesj/joeg67.html,0/2,-
/tablesj/joeg68.html,0/3,-
/tablesj/joeg69.html,8/4,Yugoslavia 1968/69
/tablesj/joeg69ext.html,0/1,-
/tablesj/joeg70.html,8/5,Yugoslavia 1969/70
/tablesj/joeg70ext.html,0/1,-
/tablesj/joeg71.html,8/5,Yugoslavia 1970/71
/tablesj/joeg71ext.html,0/1,-
/tablesj/joeg72.html,8/5,Yugoslavia 1971/72
/tablesj/joeg72ext.html,0/1,-
/tablesj/joeg73.html,8/4,Yugoslavia 1972/73
/tablesj/joeg73ext.html,0/1,-
/tablesj/joeg74.html,8/5,Yugoslavia 1973/74
/tablesj/joeg74ext.html,0/1,-
/tablesj/joeg75.html,8/5,Yugoslavia 1974/75
/tablesj/joeg75ext.html,0/1,-
/tablesj/joeg76.html,8/4,Yugoslavia 1975/76
/tablesj/joeg76ext.html,0/1,-
/tablesj/joeg77.html,0/2,-
/tablesj/joeg78.html,0/1,-
/tablesj/joeg79.html,0/1,-
/tablesj/joeg80.html,0/1,-
/tablesj/joeg81.html,0/1,-
/tablesj/joeg82.html,0/1,-
/tablesj/joeg83.html,0/1,-
/tablesj/joeg84.html,0/1,-
/tablesj/joeg85.html,0/1,-
/tablesj/joeg86.html,0/1,-
/tablesj/joeg87.html,0/1,-
/tablesj/joeg90.html,0/1,-
/tablesj/joeg91.html,0/1,-
/tablesj/joeg92.html,0/3,-
/tablesj/joeg93.html,7/4,Yugoslavia 1992/93
/tablesj/joeg94.html,7/5,Yugoslavia 1993/94
/tablesj/joeg95.html,7/4,Yugoslavia 1994/95
/tablesj/joeg96.html,0/3,-
/tablesj/joeg97.html,0/1,-
/tablesj/joeg98.html,0/1,-
