path,links,title
/tablesk/kaapv-intres.html,1/1,Cape Verde Islands - List of International Matches
/tablesk/kaapv00.html,0/2,-
/tablesk/kaapv01.html,0/2,-
/tablesk/kaapv02.html,0/2,-
/tablesk/kaapv03.html,0/2,-
/tablesk/kaapv04.html,0/2,-
/tablesk/kaapv05.html,0/2,-
/tablesk/kaapv06.html,0/2,-
/tablesk/kaapv07.html,0/3,-
/tablesk/kaapv08.html,0/2,-
/tablesk/kaapv09.html,0/3,-
/tablesk/kaapv2010.html,0/3,-
/tablesk/kaapv2011.html,0/3,-
/tablesk/kaapv2012.html,0/3,-
/tablesk/kaapv2013.html,0/3,-
/tablesk/kaapv2014.html,0/2,-
/tablesk/kaapv2015.html,0/3,-
/tablesk/kaapv2016.html,0/2,-
/tablesk/kaapv2017.html,0/2,-
/tablesk/kaapv2018.html,0/3,-
/tablesk/kaapv2019.html,0/3,-
/tablesk/kaapv2020.html,0/2,-
/tablesk/kaapv2021.html,0/2,-
/tablesk/kaapv2022.html,0/3,-
/tablesk/kaapv2023.html,0/3,-
/tablesk/kaapv2024.html,0/4,-
/tablesk/kaapv2025.html,6/4,Cape Verde Islands 2024/25
/tablesk/kaapv2026.html,5/5,Cape Verde Islands 2025/26
/tablesk/kaapv76.html,0/2,-
/tablesk/kaapv78.html,0/1,-
/tablesk/kaapv80.html,0/1,-
/tablesk/kaapv81.html,0/1,-
/tablesk/kaapv82.html,0/2,-
/tablesk/kaapv83.html,0/1,-
/tablesk/kaapv84.html,0/1,-
/tablesk/kaapv85.html,0/1,-
/tablesk/kaapv87.html,0/1,-
/tablesk/kaapv88.html,0/2,-
/tablesk/kaapv89.html,0/1,-
/tablesk/kaapv90.html,0/1,-
/tablesk/kaapv91.html,0/1,-
/tablesk/kaapv92.html,0/1,-
/tablesk/kaapv93.html,0/2,-
/tablesk/kaapv94.html,0/2,-
/tablesk/kaapv95.html,0/2,-
/tablesk/kaapv96.html,0/2,-
/tablesk/kaapv97.html,0/3,-
/tablesk/kaapv98.html,0/2,-
/tablesk/kaapv99.html,0/2,-
/tablesk/kaapvchamp.html,49/2,Cape Verde Islands - List of Champions
/tablesk/kaapvcuphist.html,18/2,Cape Verde Islands - List of Cup Winners
/tablesk/kaapvregchamp.html,36/2,Cape Verde Islands - List of Regional Tournament Winners
/tablesk/kam-intres.html,5/1,Cameroon - List of International Matches
