path,links,title
/tablesl/la-tourn83.html,0/1,-
/tablesl/la-tourn84det.html,2/1,Columbus Cup (America's Nations Cup) 1984 Match Details
/tablesl/labour-intres.html,0/5,-
/tablesl/labourolympia.html,4/3,Labour Olympiads 1925-1937
/tablesl/labourparis.html,0/1,-
/tablesl/landen-intres.html,378/2,Lists of Full Internationals of National Teams
/tablesl/laos-intres.html,2/1,Laos International Matches 1961-2000
/tablesl/laos00.html,0/2,-
/tablesl/laos01.html,0/1,-
/tablesl/laos02.html,0/1,-
/tablesl/laos03.html,0/2,-
/tablesl/laos04.html,0/2,-
/tablesl/laos05.html,0/1,-
/tablesl/laos06.html,0/2,-
/tablesl/laos07.html,0/2,-
/tablesl/laos08.html,0/2,-
/tablesl/laos09.html,0/2,-
/tablesl/laos2010.html,0/2,-
/tablesl/laos2011.html,0/2,-
/tablesl/laos2012.html,0/2,-
/tablesl/laos2013.html,0/2,-
/tablesl/laos2014.html,0/2,-
/tablesl/laos2015.html,0/2,-
/tablesl/laos2016.html,0/1,-
/tablesl/laos2017.html,0/1,-
/tablesl/laos2018.html,0/1,-
/tablesl/laos2019.html,0/2,-
/tablesl/laos2020.html,0/2,-
/tablesl/laos2021.html,0/1,-
/tablesl/laos2022.html,0/2,-
/tablesl/laos2023.html,0/2,-
/tablesl/laos2025.html,5/3,Laos 2024/25
/tablesl/laos2026.html,4/3,Laos 2025/26
/tablesl/laos91.html,0/1,-
/tablesl/laos96.html,0/1,-
/tablesl/laos98.html,0/1,-
/tablesl/laoschamp.html,30/2,Laos - List of Champions
/tablesl/laoscuphist.html,18/2,Laos - List of Cup Winners
/tablesl/lap-intres.html,2/1,Sápmi (Lapland) International Matches
/tablesl/lap-wom-intres.html,0/1,-
/tablesl/latin.html,2/2,Latin Cup
/tablesl/lausanne-argtrip91.html,4/2,Lausanne-Sports Trip to Argentina 1991
/tablesl/lausanne-argtrip92.html,3/2,Lausanne-Sports Trip to Argentina 1992
/tablesl/leb-intres.html,3/1,Lebanon - List of International Matches
/tablesl/leb-intres-prehist.html,0/1,-
/tablesl/leb-intres9399.html,0/1,-
/tablesl/leb00.html,0/2,-
/tablesl/leb01.html,0/2,-
/tablesl/leb02.html,0/2,-
/tablesl/leb03.html,0/2,-
/tablesl/leb04.html,0/2,-
/tablesl/leb05.html,0/2,-
/tablesl/leb06.html,0/2,-
/tablesl/leb07.html,0/2,-
/tablesl/leb08.html,0/2,-
/tablesl/leb09.html,0/2,-
/tablesl/leb2010.html,0/2,-
/tablesl/leb2011.html,0/2,-
/tablesl/leb2012.html,0/2,-
/tablesl/leb2013.html,0/2,-
/tablesl/leb2014.html,0/2,-
/tablesl/leb2015.html,0/2,-
/tablesl/leb2016.html,0/2,-
/tablesl/leb2017.html,0/2,-
/tablesl/leb2018.html,0/2,-
/tablesl/leb2019.html,0/2,-
/tablesl/leb2020.html,0/2,-
/tablesl/leb2021.html,0/2,-
/tablesl/leb2022.html,0/2,-
/tablesl/leb2023.html,0/2,-
/tablesl/leb2024.html,0/3,-
/tablesl/leb2025.html,6/2,Lebanon 2024/25
/tablesl/leb2026.html,5/4,Lebanon 2025/26
/tablesl/leb34.html,0/1,-
/tablesl/leb63.html,0/1,-
/tablesl/leb75.html,0/2,-
/tablesl/leb88.html,6/4,Lebanon 1987/88
/tablesl/leb90.html,5/3,Lebanon 1989/90
/tablesl/leb91.html,0/3,-
/tablesl/leb92.html,0/2,-
/tablesl/leb93.html,0/2,-
/tablesl/leb94.html,0/1,-
/tablesl/leb95.html,0/2,-
/tablesl/leb96.html,0/2,-
/tablesl/leb97.html,0/2,-
/tablesl/leb98.html,0/2,-
/tablesl/leb99.html,0/2,-
/tablesl/lebchamp.html,42/4,Lebanon - List of Champions
/tablesl/lebcuphist.html,37/4,Lebanon - List of Cup Winners
/tablesl/lebtops.html,1/2,Lebanon - List of Topscorers
/tablesl/leeward-islands.html,2/3,Leeward Islands Tournament
/tablesl/leeward-islands-club.html,1/1,Leeward Islands Club Champions Tournament
/tablesl/leopoldchamp.html,5/2,DR Congo (Zaire) - Congo-Léopoldville Champions
/tablesl/leso-intres.html,1/1,Lesotho - List of International Matches
/tablesl/leso00.html,0/2,-
/tablesl/leso01.html,0/1,-
/tablesl/leso02.html,0/1,-
/tablesl/leso03.html,0/1,-
/tablesl/leso04.html,0/1,-
/tablesl/leso05.html,0/1,-
/tablesl/leso06.html,0/2,-
/tablesl/leso07.html,0/2,-
/tablesl/leso08.html,0/2,-
/tablesl/leso09.html,0/2,-
/tablesl/leso2010.html,0/2,-
/tablesl/leso2011.html,0/2,-
/tablesl/leso2012.html,0/2,-
/tablesl/leso2013.html,0/2,-
/tablesl/leso2014.html,0/2,-
/tablesl/leso2015.html,0/1,-
/tablesl/leso2016.html,0/2,-
/tablesl/leso2017.html,0/2,-
/tablesl/leso2018.html,0/2,-
/tablesl/leso2019.html,0/2,-
/tablesl/leso2020.html,0/3,-
/tablesl/leso2021.html,5/2,Lesotho 2020-22
/tablesl/leso2023.html,0/2,-
/tablesl/leso2024.html,0/2,-
/tablesl/leso2025.html,5/2,Lesotho 2024/25
/tablesl/leso2026.html,5/3,Lesotho 2025/26
/tablesl/leso59.html,0/1,-
/tablesl/leso88.html,0/1,-
/tablesl/leso89.html,0/1,-
/tablesl/leso92.html,0/2,-
/tablesl/leso93.html,0/1,-
/tablesl/leso94.html,0/2,-
/tablesl/leso98.html,0/2,-
/tablesl/leso99.html,0/1,-
/tablesl/lesochamp.html,35/3,Lesotho - List of Champions
/tablesl/lesocuphist.html,20/4,Lesotho - List of Cup Winners
/tablesl/let-intres.html,2/1,Latvia - List of International Matches
/tablesl/let00.html,0/1,-
/tablesl/let01.html,0/1,-
/tablesl/let02.html,0/1,-
/tablesl/let03.html,0/1,-
/tablesl/let04.html,0/1,-
/tablesl/let05.html,0/1,-
/tablesl/let06.html,0/1,-
/tablesl/let07.html,0/1,-
/tablesl/let08.html,0/1,-
/tablesl/let09.html,0/2,-
/tablesl/let2010.html,0/2,-
/tablesl/let2011.html,0/2,-
/tablesl/let2012.html,0/2,-
/tablesl/let2013.html,0/2,-
/tablesl/let2014.html,0/2,-
/tablesl/let2015.html,0/2,-
/tablesl/let2016.html,0/2,-
/tablesl/let2017.html,0/2,-
/tablesl/let2018.html,0/2,-
/tablesl/let2019.html,0/2,-
/tablesl/let2020.html,0/2,-
/tablesl/let2021.html,0/2,-
/tablesl/let2022.html,0/2,-
/tablesl/let2023.html,0/2,-
/tablesl/let2024.html,0/3,-
/tablesl/let2025.html,6/3,Latvia 2025
/tablesl/let2026.html,5/3,Latvia 2026
/tablesl/let90.html,0/1,-
/tablesl/let91.html,0/2,-
/tablesl/let92.html,0/1,-
/tablesl/let93.html,0/1,-
/tablesl/let94.html,0/1,-
/tablesl/let95.html,0/1,-
/tablesl/let96.html,0/2,-
/tablesl/let97.html,0/2,-
/tablesl/let98.html,0/2,-
/tablesl/let99.html,0/1,-
/tablesl/letchamp.html,40/2,Latvia - List of Champions
/tablesl/letcup00.html,0/1,-
/tablesl/letcup01.html,0/1,-
/tablesl/letcup02.html,0/1,-
/tablesl/letcup03.html,0/1,-
/tablesl/letcup04.html,0/1,-
/tablesl/letcup05.html,0/1,-
/tablesl/letcup06.html,0/1,-
/tablesl/letcup07.html,0/1,-
/tablesl/letcup08.html,0/1,-
/tablesl/letcup99.html,0/1,-
