path,links,title
/tablesm/macao-intres.html,1/1,Macao - List of International Matches
/tablesm/macao00.html,0/1,-
/tablesm/macao01.html,0/1,-
/tablesm/macao02.html,0/1,-
/tablesm/macao03.html,0/1,-
/tablesm/macao04.html,0/1,-
/tablesm/macao05.html,0/2,-
/tablesm/macao06.html,0/1,-
/tablesm/macao07.html,0/2,-
/tablesm/macao08.html,0/2,-
/tablesm/macao09.html,0/2,-
/tablesm/macao2010.html,0/2,-
/tablesm/macao2011.html,0/1,-
/tablesm/macao2012.html,0/2,-
/tablesm/macao2013.html,0/2,-
/tablesm/macao2014.html,0/2,-
/tablesm/macao2015.html,0/2,-
/tablesm/macao2016.html,0/2,-
/tablesm/macao2017.html,0/2,-
/tablesm/macao2018.html,0/2,-
/tablesm/macao2019.html,0/2,-
/tablesm/macao2020.html,0/1,-
/tablesm/macao2021.html,0/2,-
/tablesm/macao2022.html,0/2,-
/tablesm/macao2023.html,0/2,-
/tablesm/macao2024.html,0/3,-
/tablesm/macao2025.html,5/3,Macao 2025
/tablesm/macao2026.html,4/4,Macao 2026
/tablesm/macao53.html,0/1,-
/tablesm/macao55.html,0/1,-
/tablesm/macao56.html,0/2,-
/tablesm/macao64.html,0/1,-
/tablesm/macao65.html,0/2,-
/tablesm/macaochamp.html,32/2,Macao - List of Champions
/tablesm/macaocuphist.html,23/2,Macao - List of Cup Winners
/tablesm/maccabi-eur.html,7/5,European Maccabi Games
/tablesm/maccabi-eurtrop.html,2/2,European Maccabi Trophy
/tablesm/maccabi-panam.html,1/1,Pan American Maccabi Games
/tablesm/maccabi2011.html,5/2,European Maccabi Games (Wien) 2011
/tablesm/maccabi2019.html,0/2,-
/tablesm/maccabi30.html,5/3,Maccabiade (Antwerpen) 1930
/tablesm/maccabiah.html,3/2,Maccabiah Games
/tablesm/madag-intres.html,1/1,Madagascar - List of International Matches
/tablesm/madag-regchamp.html,0/1,-
/tablesm/madag00.html,0/2,-
/tablesm/madag01.html,0/2,-
/tablesm/madag02.html,0/2,-
/tablesm/madag03.html,0/2,-
/tablesm/madag04.html,0/2,-
