path,links,title
/tablesn/nafrchamp.html,52/35,North African Champions Cup
/tablesn/nafrcup09.html,6/5,North African Club Competitions 2008/09
/tablesn/nafrcup2010.html,5/4,North African Club Competitions 2009/10
/tablesn/nafrcup2011.html,4/3,North African Club Competitions 2010/11
/tablesn/nafrcwc.html,6/6,North African Cup
/tablesn/nafrnewchamp.html,5/5,UNAF Champions Cup
/tablesn/nafrnewcwc.html,5/5,UNAF Cup Winners Cup
/tablesn/nami-intres.html,3/2,Namibia International Matches
/tablesn/nami-intres-detwcq.html,0/1,-
/tablesn/nami-intres0009.html,2/2,Namibia - Details of International Matches
/tablesn/nami-prewwi.html,0/2,-
/tablesn/nami00.html,0/2,-
/tablesn/nami02.html,0/2,-
/tablesn/nami03.html,0/2,-
/tablesn/nami04.html,0/2,-
/tablesn/nami05.html,0/2,-
/tablesn/nami06.html,0/2,-
/tablesn/nami07.html,0/2,-
/tablesn/nami08.html,0/2,-
/tablesn/nami09.html,0/2,-
/tablesn/nami2010.html,0/2,-
/tablesn/nami2011.html,0/2,-
/tablesn/nami2012.html,0/2,-
/tablesn/nami2013.html,0/2,-
/tablesn/nami2014.html,0/2,-
/tablesn/nami2015.html,0/2,-
/tablesn/nami2016.html,0/1,-
/tablesn/nami2017.html,0/2,-
/tablesn/nami2018.html,0/2,-
/tablesn/nami2019.html,0/2,-
/tablesn/nami2020.html,0/1,-
/tablesn/nami2021.html,0/2,-
/tablesn/nami2022.html,0/1,-
/tablesn/nami2023.html,0/2,-
/tablesn/nami2024.html,0/3,-
/tablesn/nami2025.html,5/3,Namibia 2024/25
/tablesn/nami2026.html,4/4,Namibia 2025/26
/tablesn/nami72.html,0/1,-
/tablesn/nami76.html,0/1,-
/tablesn/nami77.html,0/2,-
/tablesn/nami78.html,0/1,-
/tablesn/nami79.html,0/1,-
/tablesn/nami81.html,0/1,-
/tablesn/nami82.html,0/1,-
/tablesn/nami83.html,0/1,-
/tablesn/nami84.html,0/1,-
/tablesn/nami85.html,0/2,-
/tablesn/nami86.html,0/2,-
/tablesn/nami87.html,0/2,-
/tablesn/nami88.html,0/2,-
/tablesn/nami89.html,0/1,-
/tablesn/nami90.html,0/2,-
/tablesn/nami91.html,0/2,-
/tablesn/nami92.html,0/2,-
/tablesn/nami93.html,0/2,-
/tablesn/nami94.html,0/2,-
/tablesn/nami95.html,0/1,-
/tablesn/nami96.html,0/1,-
/tablesn/nami98.html,0/2,-
/tablesn/nami99.html,0/2,-
/tablesn/namichamp.html,45/3,Namibia - List of Champions
/tablesn/namicuphist.html,47/3,Namibia - List of Cup Winners
/tablesn/nanhwaindie-tour37.html,0/1,-
/tablesn/nanhwaindie-tour39.html,0/1,-
/tablesn/nauru-intres.html,1/1,Nauru - International Matches
/tablesn/ncam-ccsf.html,1/1,CONCACAF Cups - Final Rounds Balance
/tablesn/ncam-intres2001.html,1/1,International Matches 2001 - North and Central American Countries (CONCACAF)
/tablesn/ncyp-50ann-05.html,0/1,-
/tablesn/ncyp-intres.html,4/1,TR Northern Cyprus International Matches
/tablesn/ncyp-wom08.html,0/1,-
/tablesn/ncyp-wom09.html,4/1,TR Northern Cyprus (Women) 2008/09
/tablesn/ncyp-wom2010.html,0/1,-
/tablesn/ncyp-wom2017.html,0/1,-
/tablesn/ncyp-wom2018.html,4/1,TR Northern Cyprus (Women) 2017/18
/tablesn/ncyp-wom2019.html,0/1,-
/tablesn/ncyp-womchamp.html,0/2,-
/tablesn/ncyp00.html,0/2,-
/tablesn/ncyp01.html,0/2,-
/tablesn/ncyp02.html,0/2,-
/tablesn/ncyp03.html,0/2,-
/tablesn/ncyp04.html,0/2,-
/tablesn/ncyp05.html,0/2,-
/tablesn/ncyp06.html,0/2,-
/tablesn/ncyp07.html,0/2,-
/tablesn/ncyp08.html,0/2,-
/tablesn/ncyp09.html,0/2,-
/tablesn/ncyp2010.html,0/2,-
/tablesn/ncyp2011.html,0/2,-
/tablesn/ncyp2012.html,0/2,-
/tablesn/ncyp2013.html,0/2,-
/tablesn/ncyp2014.html,0/2,-
/tablesn/ncyp2015.html,0/2,-
/tablesn/ncyp2016.html,0/2,-
/tablesn/ncyp2017.html,0/2,-
/tablesn/ncyp2018.html,0/2,-
/tablesn/ncyp2019.html,0/2,-
/tablesn/ncyp2020.html,0/2,-
/tablesn/ncyp2022.html,0/2,-
/tablesn/ncyp2023.html,0/2,-
/tablesn/ncyp2024.html,0/3,-
/tablesn/ncyp2025.html,9/3,TR Northern Cyprus 2024/25
/tablesn/ncyp2026.html,8/4,TR Northern Cyprus 2025/26
/tablesn/ncyp92.html,0/2,-
/tablesn/ncyp93.html,0/2,-
/tablesn/ncyp94.html,0/2,-
/tablesn/ncyp95.html,0/2,-
/tablesn/ncyp96.html,0/2,-
/tablesn/ncyp97.html,0/2,-
/tablesn/ncyp98.html,0/2,-
/tablesn/ncyp99.html,0/2,-
/tablesn/ncypalltime.html,1/2,TR North Cyprus - All-Time Table
/tablesn/ncypchamp.html,36/2,TR Northern Cyprus - List of Champions
/tablesn/ncypclubs.html,1/3,TR Northern Cyprus - Club Info
/tablesn/ncypcup56.html,0/1,-
/tablesn/ncypcuphist.html,24/2,TR North Cyprus - List of Cup Finals
/tablesn/ncyphist.html,13/3,TR Northern Cyprus - List of Final Tables
/tablesn/ncyptops.html,1/2,TR North Cyprus - List of Topscorers
/tablesn/necochea97.html,2/1,Copa Ciudad de Necochea 1997
/tablesn/necochea98.html,0/1,-
/tablesn/ned-amat2013.html,0/1,-
/tablesn/ned-amat2014.html,0/1,-
/tablesn/ned-amat2015.html,0/1,-
/tablesn/ned-amat2016.html,0/1,-
/tablesn/ned-amat2020.html,0/1,-
/tablesn/ned-amat2021.html,0/1,-
/tablesn/ned-amat2025.html,0/1,-
/tablesn/ned-b-intres.html,16/9,Netherlands B - List of International Matches
/tablesn/ned-ec.html,6/1,Dutch Clubs in European Cups
/tablesn/ned-intres.html,37/23,Netherlands - List of International Matches
/tablesn/ned-rk-intres.html,4/1,Netherlands - List of International Matches R.K.F.
/tablesn/ned00.html,0/2,-
/tablesn/ned01.html,0/2,-
/tablesn/ned02.html,0/2,-
/tablesn/ned03.html,0/2,-
/tablesn/ned04.html,0/2,-
/tablesn/ned05.html,0/2,-
/tablesn/ned06.html,0/2,-
/tablesn/ned07.html,0/2,-
/tablesn/ned08.html,0/2,-
/tablesn/ned09.html,0/2,-
/tablesn/ned1888.html,0/1,-
/tablesn/ned1889.html,0/1,-
/tablesn/ned1890.html,0/1,-
/tablesn/ned1891.html,0/4,-
/tablesn/ned1892.html,0/3,-
/tablesn/ned1893.html,0/3,-
/tablesn/ned1894.html,0/4,-
/tablesn/ned1895.html,0/3,-
/tablesn/ned1896.html,0/4,-
/tablesn/ned1897.html,0/3,-
/tablesn/ned1898.html,0/5,-
/tablesn/ned1899.html,13/5,Netherlands 1898/99
