path,links,title
/tablesp/p-rico-oud.html,0/2,-
/tablesp/p-rico00.html,0/1,-
/tablesp/p-rico01.html,0/1,-
/tablesp/p-rico02.html,0/1,-
/tablesp/p-rico03.html,0/1,-
/tablesp/p-rico04.html,0/1,-
/tablesp/p-rico05.html,0/1,-
/tablesp/p-rico06.html,0/1,-
/tablesp/p-rico07.html,0/1,-
/tablesp/p-rico08.html,0/1,-
/tablesp/p-rico09.html,0/1,-
/tablesp/p-rico2010.html,0/1,-
/tablesp/p-rico2011.html,0/1,-
/tablesp/p-rico2012.html,0/1,-
/tablesp/p-rico2013.html,0/1,-
/tablesp/p-rico2014.html,0/1,-
/tablesp/p-rico2015.html,0/1,-
/tablesp/p-rico2016.html,0/2,-
/tablesp/p-rico2017.html,0/1,-
/tablesp/p-rico2019.html,0/2,-
/tablesp/p-rico2020.html,0/1,-
/tablesp/p-rico2021.html,0/1,-
/tablesp/p-rico2022.html,0/1,-
/tablesp/p-rico2023.html,0/1,-
/tablesp/p-rico2023a.html,0/1,-
/tablesp/p-rico2025.html,0/1,-
/tablesp/p-rico2025a.html,0/2,-
/tablesp/p-rico2026.html,5/2,Puerto Rico 2025/26 (Apertura 2025)
/tablesp/p-rico2026a.html,4/3,Puerto Rico 2025/26 (Clausura 2026)
/tablesp/p-rico58.html,0/1,-
/tablesp/p-rico98.html,0/1,-
/tablesp/p-rico99.html,0/1,-
/tablesp/p-ricochamp.html,34/2,Puerto Rico - List of Champions
/tablesp/p-ricocuphist.html,5/2,Puerto Rico - List of Cup Winners
/tablesp/paas-intres.html,1/1,Easter Island (Rapa Nui) - International Matches
/tablesp/pac-womgames.html,8/2,(South) Pacific Games - Women's Tournament
/tablesp/pacgames2011.html,0/2,-
/tablesp/pacgames2015.html,0/2,-
/tablesp/pacgames2017.html,0/3,-
/tablesp/pacgames2019.html,5/3,Pacific Games 2019 (Samoa)
/tablesp/pacgames2023.html,4/6,Pacific Games 2023 (Solomon Islands)
