path,links,title
/tablesr/racing-satrip64.html,1/1,South American Trip of Racing Club 1964
/tablesr/racing-trip67.html,1/1,South American Trip of Racing Club (Avellaneda) 1967
/tablesr/rampla-chiltrip50.html,1/1,Rampla Juniors Trip to Chile 1950
/tablesr/rcastilla.html,1/1,Copa Ramón Castilla
/tablesr/rcd-pact.html,2/2,RCD PACT Tournaments 1965-1974
/tablesr/rcolombo56.html,1/1,Copa Raúl Colombo
/tablesr/recopa-int.html,1/1,Recopa Intercontinental 1968/69
/tablesr/reunion-intres.html,1/1,Reunion International Matches
/tablesr/reunion00.html,0/2,-
/tablesr/reunion01.html,0/2,-
/tablesr/reunion02.html,0/2,-
/tablesr/reunion03.html,0/2,-
/tablesr/reunion04.html,0/2,-
/tablesr/reunion05.html,0/2,-
/tablesr/reunion06.html,0/2,-
/tablesr/reunion07.html,0/2,-
/tablesr/reunion08.html,0/2,-
/tablesr/reunion09.html,0/2,-
/tablesr/reunion2010.html,0/2,-
/tablesr/reunion2011.html,0/2,-
/tablesr/reunion2012.html,0/2,-
/tablesr/reunion2013.html,0/2,-
/tablesr/reunion2014.html,0/2,-
/tablesr/reunion2015.html,0/2,-
/tablesr/reunion2016.html,0/2,-
/tablesr/reunion2018.html,0/2,-
/tablesr/reunion2018a.html,0/2,-
/tablesr/reunion2019.html,0/2,-
/tablesr/reunion2020.html,0/2,-
/tablesr/reunion2021.html,0/2,-
/tablesr/reunion2022.html,0/2,-
/tablesr/reunion2023.html,0/3,-
/tablesr/reunion2024.html,7/3,Réunion 2024
/tablesr/reunion2025.html,6/4,Réunion 2025
/tablesr/reunion31.html,0/2,-
/tablesr/reunion3cuphist.html,0/1,-
/tablesr/reunion57.html,0/1,-
/tablesr/reunion58.html,0/1,-
/tablesr/reunion59.html,0/1,-
/tablesr/reunion60.html,0/1,-
/tablesr/reunion61.html,0/1,-
/tablesr/reunion62.html,0/1,-
/tablesr/reunion63.html,0/1,-
/tablesr/reunion64.html,0/1,-
/tablesr/reunion65.html,0/1,-
/tablesr/reunion66.html,0/1,-
/tablesr/reunion67.html,0/1,-
/tablesr/reunion68.html,0/1,-
/tablesr/reunion69.html,0/1,-
/tablesr/reunion71.html,0/1,-
/tablesr/reunion72.html,0/1,-
/tablesr/reunion73.html,0/1,-
/tablesr/reunion74.html,0/1,-
/tablesr/reunion75.html,0/1,-
/tablesr/reunion76.html,0/1,-
/tablesr/reunion77.html,0/1,-
/tablesr/reunion78.html,0/1,-
/tablesr/reunion79.html,0/1,-
/tablesr/reunion80.html,0/1,-
/tablesr/reunion81.html,0/1,-
/tablesr/reunion82.html,0/1,-
/tablesr/reunion83.html,0/1,-
/tablesr/reunion84.html,0/1,-
/tablesr/reunion85.html,0/1,-
/tablesr/reunion86.html,0/1,-
/tablesr/reunion87.html,0/1,-
/tablesr/reunion88.html,0/1,-
/tablesr/reunion89.html,0/1,-
/tablesr/reunion90.html,0/1,-
/tablesr/reunion96.html,0/1,-
/tablesr/reunion97.html,0/2,-
/tablesr/reunion98.html,0/2,-
/tablesr/reunion99.html,0/2,-
/tablesr/reunionchamp.html,33/2,Réunion - List of Champions
/tablesr/reunioncuphist.html,64/2,Réunion - List of Cup Winners
/tablesr/reunionhist.html,2/3,Réunion - Final Tables 1956-2006
/tablesr/rgpchamp.html,0/2,-
/tablesr/rhod36.html,0/1,-
/tablesr/rhodnyas61.html,0/5,-
/tablesr/ribadesella.html,1/1,"Trofeo Ramón Soto (Ribadesella, Asturias)"
/tablesr/riobranco.html,2/2,Copa Rio Branco
/tablesr/riocup51.html,4/2,Copa Rio de Janeiro 1951
/tablesr/riocup52.html,0/1,-
/tablesr/riosplchamp.html,0/1,-
/tablesr/riverplate-amtrip66.html,1/1,American Trip of River Plate 1966
/tablesr/riverplate-amtrip67.html,1/1,American Trip of River Plate 1967
/tablesr/riverplate-perutrip66.html,1/1,Peruvian Trip of River Plate 1966
/tablesr/riverplate-satrip1-64.html,4/4,First South American Trip of River Plate 1964
/tablesr/riverplate-satrip63.html,2/2,South American Trip of River Plate 1963
/tablesr/riverplate-satrip64.html,2/2,Second South American Trip of River Plate 1964
/tablesr/roca.html,3/2,Copa Julio Roca
/tablesr/rocadet.html,0/1,-
/tablesr/rod-alves.html,2/1,Copa Rodrigues Alves
/tablesr/rodri2011.html,0/1,-
/tablesr/rodri2012.html,0/2,-
/tablesr/rodri2013.html,0/2,-
/tablesr/rodri2014.html,0/2,-
/tablesr/rodri2015.html,0/2,-
/tablesr/rodri2018.html,0/2,-
/tablesr/rodri2019.html,0/2,-
/tablesr/rodri2020.html,0/2,-
/tablesr/rodri2021.html,0/2,-
/tablesr/rodri2023.html,0/3,-
/tablesr/rodri2024.html,5/3,Rodrigues 2023/24
/tablesr/rodri2025.html,6/6,Rodrigues 2024/25
/tablesr/rodri2026.html,4/2,Rodrigues 2025/26
