path,links,title
/tabless/sa-u15.html,11/2,South American U-15 Championships
/tabless/sa-u15-05.html,0/1,-
/tabless/sa-u15-07.html,0/1,-
/tabless/sa-u15-09.html,0/1,-
/tabless/sa-u15-2011.html,0/1,-
/tabless/sa-u15-2013.html,0/1,-
/tabless/sa-u15-2015.html,0/1,-
/tabless/sa-u15-2017.html,0/2,-
/tabless/sa-u15-2019.html,4/2,South American U-15 Championship 2019 (Paraguay)
/tabless/sa-u15-2024.html,3/3,South American U-15 Championship 2024 (Bolivia)
/tabless/sa-u16-04.html,0/1,-
/tabless/sa-u16-85.html,0/1,-
/tabless/sa-u16-86.html,0/1,-
/tabless/sa-u16-88.html,0/1,-
/tabless/sa-u17.html,21/2,South American U-17 Championships
/tabless/sa-u17-01.html,0/1,-
/tabless/sa-u17-03.html,0/1,-
/tabless/sa-u17-05.html,0/1,-
/tabless/sa-u17-07.html,0/1,-
/tabless/sa-u17-09.html,0/1,-
/tabless/sa-u17-2011.html,0/1,-
/tabless/sa-u17-2013.html,0/1,-
/tabless/sa-u17-2015.html,0/1,-
/tabless/sa-u17-2017.html,0/1,-
/tabless/sa-u17-2019.html,0/2,-
/tabless/sa-u17-2023.html,4/2,South American U-17 Championship 2023 (Ecuador)
/tabless/sa-u17-2025.html,3/3,South American U-17 Championship 2025 (Colombia)
/tabless/sa-u17-91.html,0/1,-
/tabless/sa-u17-93.html,0/1,-
/tabless/sa-u17-95.html,0/1,-
/tabless/sa-u17-97.html,0/1,-
/tabless/sa-u17-99.html,0/1,-
/tabless/sa-u20-01.html,0/1,-
/tabless/sa-u20-03.html,0/1,-
/tabless/sa-u20-05.html,0/1,-
/tabless/sa-u20-07.html,0/2,-
/tabless/sa-u20-09.html,0/1,-
/tabless/sa-u20-11.html,0/2,-
/tabless/sa-u20-2013.html,0/1,-
/tabless/sa-u20-2015.html,0/2,-
/tabless/sa-u20-2017.html,0/1,-
/tabless/sa-u20-2019.html,0/2,-
/tabless/sa-u20-2023.html,6/3,XXX Sudamericano Juvenil 2023 (Colombia)
/tabless/sa-u20-2025.html,4/4,XXXI Sudamericano Juvenil 2025 (Venezuela)
/tabless/sa-u20-95.html,0/1,-
/tabless/sa-u20-97.html,0/1,-
/tabless/sa-u20-99.html,0/2,-
/tabless/sa-u21.html,33/3,South American Youth Championships
/tabless/sa-u21-54.html,0/1,-
/tabless/sa-u21-58.html,0/1,-
/tabless/sa-u21-64.html,0/1,-
/tabless/sa-u21-67.html,0/1,-
/tabless/sa-u21-71.html,0/1,-
/tabless/sa-u21-74.html,0/1,-
/tabless/sa-u21-75.html,0/1,-
/tabless/sa-u21-77.html,0/1,-
/tabless/sa-u21-79.html,0/1,-
/tabless/sa-u21-81.html,0/1,-
/tabless/sa-u21-83.html,0/1,-
/tabless/sa-u21-85.html,0/1,-
/tabless/sa-u21-87.html,0/1,-
/tabless/sa-u21-88det.html,2/1,XIV Sudamericano Juvenil 1988 (Argentina) - Match Details and Squad Lists
/tabless/sa-u21-89.html,0/2,-
/tabless/sa-u21-91.html,0/1,-
/tabless/sa-u21-92.html,0/1,-
/tabless/saar-intres.html,2/3,Saar - List of International Matches and Line-Ups
/tabless/saarhist.html,6/2,Saar - Final Tables 1948/49-1950/51
/tabless/saarland.html,6/3,Internationaler Saarland Pokal
/tabless/saavedra75.html,1/1,Copa Cornelio Saavedra
/tabless/sachamp.html,51/53,Copa América
/tabless/sachampfull.html,45/3,The Copa América Archive
/tabless/sachampfulldiff.html,2/1,The Copa América Archive - Known Discrepancies
/tabless/sachampfulltrivia.html,2/1,The Copa América Archive - Trivia
/tabless/sachamptrivia.html,2/1,Copa América Trivia
/tabless/saenzpena41.html,1/1,Copa Roque Sáenz Peña
/tabless/saff-wom.html,9/2,South Asian Women's Championship
/tabless/saff-wom2010.html,0/1,-
/tabless/saff-wom2012.html,0/1,-
/tabless/saff-wom2014.html,0/1,-
/tabless/saff-wom2016.html,0/1,-
/tabless/saff-wom2019.html,0/1,-
/tabless/saff-wom2022.html,0/2,-
/tabless/saff-wom2024.html,4/2,2024 SAFF Women's Championship (Nepal)
/tabless/saff-wom2026.html,3/3,2026 SAFF Women's Championship (India)
/tabless/saffcup.html,15/3,South Asian Football Federation Cup
/tabless/saffgold02.html,0/1,-
/tabless/saffgold05.html,0/1,-
/tabless/saffgold08.html,0/1,-
/tabless/saffgold09.html,0/1,-
/tabless/saffgold2011.html,0/1,-
/tabless/saffgold2013.html,0/1,-
/tabless/saffgold2015.html,0/1,-
/tabless/saffgold2018.html,0/2,-
/tabless/saffgold2021.html,4/2,South Asian Championship 2021 (Malé)
/tabless/saffgold2023.html,3/4,South Asian Championship 2023 (Bangalore)
/tabless/saffgold93.html,0/1,-
/tabless/saffgold95.html,0/1,-
/tabless/saffgold97.html,0/1,-
/tabless/saffgold99.html,0/1,-
/tabless/safg.html,15/4,South Asian Federation Games
/tabless/safg-wom.html,5/3,South Asian Federation Games (Women's Tournament)
/tabless/safg01.html,0/1,-
/tabless/safg06.html,0/1,-
