path,links,title
/tablest/tahiti-intres.html,1/1,Tahiti International Matches
/tablest/tahiti00.html,0/2,-
/tablest/tahiti01.html,0/2,-
/tablest/tahiti02.html,0/2,-
/tablest/tahiti03.html,0/2,-
/tablest/tahiti04.html,0/2,-
/tablest/tahiti05.html,0/2,-
/tablest/tahiti06.html,0/2,-
/tablest/tahiti07.html,0/2,-
/tablest/tahiti08.html,0/2,-
/tablest/tahiti09.html,0/2,-
/tablest/tahiti2010.html,0/2,-
/tablest/tahiti2011.html,0/2,-
/tablest/tahiti2012.html,0/2,-
/tablest/tahiti2013.html,0/2,-
/tablest/tahiti2014.html,0/3,-
/tablest/tahiti2015.html,0/2,-
/tablest/tahiti2016.html,0/2,-
/tablest/tahiti2017.html,0/2,-
/tablest/tahiti2018.html,0/2,-
/tablest/tahiti2019.html,0/2,-
/tablest/tahiti2020.html,0/2,-
/tablest/tahiti2021.html,0/4,-
/tablest/tahiti2022.html,8/4,French Polynesia 2021/22
/tablest/tahiti2023.html,0/5,-
/tablest/tahiti2024.html,8/4,French Polynesia 2023/24
/tablest/tahiti2025.html,8/6,French Polynesia 2024/25
/tablest/tahiti2026.html,7/4,French Polynesia 2025/26
/tablest/tahiti68.html,0/1,-
/tablest/tahiti69.html,0/2,-
/tablest/tahiti70.html,0/3,-
/tablest/tahiti71.html,0/1,-
/tablest/tahiti85.html,0/1,-
/tablest/tahiti99.html,0/2,-
/tablest/tahitichamp.html,34/4,Tahiti - List of Champions
/tablest/tahitichampcuphist.html,8/4,Tahiti - List of Trophée des Champions Winners
/tablest/tahiticuphist.html,32/4,Tahiti - List of Cup Winners
/tablest/tahitifound.html,1/4,Tahiti - List of Foundation Dates
/tablest/taiwan-intres.html,1/1,Taiwan - List of International Matches
/tablest/taiwan00.html,0/1,-
/tablest/taiwan05.html,0/1,-
/tablest/taiwan06.html,0/1,-
/tablest/taiwan07.html,0/1,-
/tablest/taiwan08.html,0/1,-
/tablest/taiwan09.html,0/1,-
/tablest/taiwan2010.html,0/1,-
/tablest/taiwan2011.html,0/1,-
/tablest/taiwan2012.html,0/1,-
/tablest/taiwan2013.html,0/1,-
/tablest/taiwan2014.html,0/1,-
/tablest/taiwan2015.html,0/1,-
/tablest/taiwan2017.html,0/1,-
/tablest/taiwan2018.html,0/1,-
/tablest/taiwan2019.html,0/1,-
/tablest/taiwan2020.html,0/1,-
/tablest/taiwan2021.html,0/1,-
/tablest/taiwan2022.html,0/1,-
/tablest/taiwan2023.html,0/2,-
/tablest/taiwan2024.html,4/2,Taiwan 2024
/tablest/taiwan2026.html,3/3,Taiwan 2025/26
/tablest/taiwan68.html,0/1,-
/tablest/taiwan83.html,0/1,-
/tablest/taiwan85.html,0/1,-
/tablest/taiwan8693.html,0/1,-
/tablest/taiwan94.html,0/1,-
/tablest/taiwan9596.html,0/1,-
/tablest/taiwan98.html,0/1,-
/tablest/taiwanchamp.html,29/2,Taiwan - List of Champions
/tablest/taji-intres.html,1/1,Tajikistan - List of International Matches
/tablest/taji00.html,0/1,-
/tablest/taji01.html,0/2,-
/tablest/taji02.html,0/2,-
/tablest/taji03.html,0/1,-
/tablest/taji04.html,0/2,-
/tablest/taji05.html,0/2,-
/tablest/taji06.html,0/2,-
/tablest/taji07.html,0/2,-
/tablest/taji08.html,0/2,-
/tablest/taji09.html,0/2,-
/tablest/taji2010.html,0/2,-
/tablest/taji2011.html,0/1,-
/tablest/taji2012.html,0/2,-
/tablest/taji2013.html,0/2,-
/tablest/taji2014.html,0/2,-
/tablest/taji2015.html,0/2,-
/tablest/taji2016.html,0/2,-
/tablest/taji2017.html,0/2,-
/tablest/taji2018.html,0/2,-
/tablest/taji2019.html,0/2,-
/tablest/taji2020.html,0/2,-
/tablest/taji2021.html,0/2,-
/tablest/taji2022.html,0/2,-
/tablest/taji2023.html,0/2,-
/tablest/taji2024.html,0/3,-
/tablest/taji2025.html,5/3,Tajikistan 2025
/tablest/taji2026.html,4/4,Tajikistan 2026
/tablest/taji84.html,0/1,-
/tablest/taji92.html,0/2,-
/tablest/taji93.html,0/2,-
/tablest/taji94.html,0/2,-
/tablest/taji95.html,0/2,-
/tablest/taji96.html,0/1,-
/tablest/taji97.html,0/2,-
/tablest/taji98.html,0/2,-
/tablest/taji99.html,0/2,-
/tablest/tajichamp.html,40/2,Tajikistan - List of Champions
