path,links,title
/tablesu/uae-intres.html,1/1,United Arab Emirates - List of International Matches
/tablesu/uae00.html,0/2,-
/tablesu/uae01.html,0/2,-
/tablesu/uae02.html,0/2,-
/tablesu/uae03.html,0/2,-
/tablesu/uae04.html,0/2,-
/tablesu/uae05.html,0/2,-
/tablesu/uae06.html,0/2,-
/tablesu/uae07.html,0/2,-
/tablesu/uae08.html,0/2,-
/tablesu/uae09.html,0/3,-
/tablesu/uae2010.html,0/3,-
/tablesu/uae2011.html,0/2,-
/tablesu/uae2012.html,0/2,-
/tablesu/uae2013.html,0/2,-
/tablesu/uae2014.html,0/2,-
/tablesu/uae2015.html,0/2,-
/tablesu/uae2016.html,0/2,-
/tablesu/uae2017.html,0/3,-
/tablesu/uae2018.html,0/3,-
/tablesu/uae2019.html,0/2,-
/tablesu/uae2020.html,0/2,-
/tablesu/uae2021.html,0/3,-
/tablesu/uae2022.html,0/2,-
/tablesu/uae2023.html,0/2,-
/tablesu/uae2024.html,0/3,-
/tablesu/uae2025.html,5/3,United Arab Emirates 2024/25
/tablesu/uae2026.html,4/4,United Arab Emirates 2025/26
/tablesu/uae74.html,0/1,-
/tablesu/uae75.html,0/2,-
/tablesu/uae83.html,0/1,-
/tablesu/uae84.html,0/2,-
/tablesu/uae86.html,0/1,-
/tablesu/uae87.html,0/1,-
/tablesu/uae88.html,0/2,-
/tablesu/uae89.html,0/1,-
/tablesu/uae90.html,0/1,-
/tablesu/uae92.html,0/2,-
/tablesu/uae93.html,0/2,-
/tablesu/uae94.html,0/2,-
/tablesu/uae95.html,0/2,-
/tablesu/uae96.html,0/2,-
/tablesu/uae97.html,0/2,-
/tablesu/uae98.html,0/2,-
/tablesu/uae99.html,0/2,-
/tablesu/uaechamp.html,45/2,United Arab Emirates - List of Champions
/tablesu/uaecuphist.html,39/2,United Arab Emirates - List of Cup Winners
/tablesu/uberlandiafuts2014.html,1/1,Nations Cup Uberlândia (Futsal) 2014
/tablesu/udeac.html,17/17,Coupe UDEAC and Coupe de la CEMAC
/tablesu/udeac84.html,4/2,Coupe UDEAC 1984
/tablesu/udeac85.html,5/3,Coupe UDEAC 1985
/tablesu/udeac86.html,5/3,Coupe UDEAC 1986
/tablesu/udeac87.html,4/3,Coupe UDEAC 1987
/tablesu/udeac88.html,4/3,Coupe UDEAC 1988
/tablesu/udeac89.html,5/3,Coupe UDEAC 1989
/tablesu/udeac90.html,5/4,Coupe UDEAC 1990
/tablesu/uefa-amateur.html,2/2,UEFA Amateur Cup
