path,links,title
/tablesv/valledeaosta.html,0/1,-
/tablesv/vanuatu-futs-intres.html,1/1,Vanuatu - List of International Futsal Matches
/tablesv/vanuatu-intres.html,1/1,Vanuatu (New Hebrides) - List of International Matches
/tablesv/vanuatu00.html,0/1,-
/tablesv/vanuatu02.html,0/1,-
/tablesv/vanuatu03.html,0/1,-
/tablesv/vanuatu04.html,0/1,-
/tablesv/vanuatu05.html,0/1,-
/tablesv/vanuatu06.html,0/1,-
/tablesv/vanuatu07.html,0/1,-
/tablesv/vanuatu08.html,0/1,-
/tablesv/vanuatu09.html,0/1,-
/tablesv/vanuatu2011.html,0/1,-
/tablesv/vanuatu2012.html,0/1,-
/tablesv/vanuatu2013.html,0/1,-
/tablesv/vanuatu2014.html,0/1,-
/tablesv/vanuatu2015.html,0/1,-
/tablesv/vanuatu2016.html,0/1,-
/tablesv/vanuatu2017.html,0/1,-
/tablesv/vanuatu2018.html,0/1,-
/tablesv/vanuatu2019.html,0/1,-
/tablesv/vanuatu2020.html,0/1,-
/tablesv/vanuatu2021.html,0/1,-
/tablesv/vanuatu2022.html,0/3,-
/tablesv/vanuatu2023.html,4/2,Vanuatu 2022/23
/tablesv/vanuatu2024.html,0/3,-
/tablesv/vanuatu2025.html,4/2,Vanuatu 2024/25
/tablesv/vanuatu2026.html,3/3,Vanuatu 2025/26
/tablesv/vanuatu98.html,0/1,-
/tablesv/vanuatuchamp.html,27/3,Vanuatu - List of Champions
/tablesv/vaticaan-intres.html,1/1,Vatican City International Matches
/tablesv/velez-trip66.html,1/1,American Trip of Vélez Sarsfield 1966
/tablesv/venez-intres.html,2/1,International Results of Venezuela
/tablesv/venez00.html,0/1,-
/tablesv/venez01.html,0/1,-
/tablesv/venez02.html,0/1,-
/tablesv/venez03.html,0/1,-
/tablesv/venez04.html,0/1,-
/tablesv/venez05.html,0/1,-
/tablesv/venez06.html,0/1,-
/tablesv/venez07.html,0/1,-
/tablesv/venez08.html,0/2,-
/tablesv/venez09.html,0/2,-
/tablesv/venez1918.html,0/1,-
/tablesv/venez2010.html,0/2,-
/tablesv/venez2011.html,0/2,-
/tablesv/venez2012.html,0/2,-
/tablesv/venez2013.html,0/2,-
/tablesv/venez2014.html,0/2,-
/tablesv/venez2015.html,0/2,-
/tablesv/venez2016.html,0/2,-
/tablesv/venez2017.html,0/2,-
/tablesv/venez2018.html,0/2,-
/tablesv/venez2019.html,0/2,-
/tablesv/venez2020.html,0/1,-
/tablesv/venez2021.html,0/1,-
/tablesv/venez2022.html,0/1,-
/tablesv/venez2023.html,0/2,-
/tablesv/venez2024.html,9/3,Venezuela 2024
/tablesv/venez2025.html,8/4,Venezuela 2025
/tablesv/venez21.html,0/1,-
/tablesv/venez23.html,0/1,-
/tablesv/venez25.html,0/1,-
/tablesv/venez26.html,0/1,-
/tablesv/venez27.html,0/1,-
/tablesv/venez28.html,0/2,-
/tablesv/venez29.html,0/1,-
/tablesv/venez2champ.html,1/2,Venezuela - List of Second Level Champions and Runners Up
/tablesv/venez30.html,0/2,-
/tablesv/venez31.html,0/1,-
/tablesv/venez32.html,0/2,-
/tablesv/venez33.html,0/2,-
/tablesv/venez34.html,0/2,-
/tablesv/venez35.html,0/2,-
/tablesv/venez36.html,0/2,-
/tablesv/venez37.html,0/2,-
/tablesv/venez38.html,0/1,-
/tablesv/venez3champ.html,1/2,Venezuela - List of Third and Fourth Level Champions and Runners Up
/tablesv/venez40.html,0/2,-
/tablesv/venez41.html,0/2,-
/tablesv/venez42.html,0/2,-
/tablesv/venez43.html,0/2,-
/tablesv/venez44.html,0/1,-
/tablesv/venez45.html,0/2,-
/tablesv/venez46.html,0/1,-
/tablesv/venez47.html,0/2,-
/tablesv/venez48.html,0/2,-
/tablesv/venez49.html,0/1,-
/tablesv/venez51.html,0/1,-
/tablesv/venez52.html,0/2,-
/tablesv/venez53.html,0/2,-
/tablesv/venez54.html,0/1,-
/tablesv/venez55.html,0/1,-
/tablesv/venez56.html,0/1,-
/tablesv/venez57.html,0/1,-
/tablesv/venez58.html,0/1,-
/tablesv/venez59.html,0/2,-
/tablesv/venez60.html,0/2,-
/tablesv/venez61.html,0/2,-
/tablesv/venez62.html,0/2,-
/tablesv/venez63.html,0/2,-
/tablesv/venez64.html,0/2,-
/tablesv/venez65.html,0/2,-
/tablesv/venez66.html,0/2,-
/tablesv/venez67.html,0/2,-
/tablesv/venez68.html,0/2,-
/tablesv/venez69.html,0/2,-
/tablesv/venez70.html,0/2,-
/tablesv/venez71.html,0/2,-
/tablesv/venez72.html,0/2,-
/tablesv/venez73.html,0/2,-
/tablesv/venez74.html,0/1,-
/tablesv/venez75.html,0/2,-
/tablesv/venez76.html,0/2,-
/tablesv/venez77.html,0/2,-
/tablesv/venez78.html,0/2,-
/tablesv/venez79.html,0/2,-
/tablesv/venez80.html,0/2,-
/tablesv/venez81.html,0/2,-
/tablesv/venez82.html,0/2,-
/tablesv/venez83.html,0/2,-
/tablesv/venez84.html,0/1,-
/tablesv/venez85.html,0/2,-
/tablesv/venez86.html,0/1,-
/tablesv/venez87.html,0/1,-
/tablesv/venez88.html,0/2,-
/tablesv/venez89.html,0/2,-
/tablesv/venez90.html,0/1,-
/tablesv/venez91.html,0/1,-
/tablesv/venez92.html,0/2,-
/tablesv/venez93.html,0/1,-
/tablesv/venez94.html,0/2,-
/tablesv/venez95.html,0/2,-
/tablesv/venez96.html,0/2,-
/tablesv/venez97.html,0/1,-
/tablesv/venez98.html,0/1,-
/tablesv/venez99.html,0/1,-
/tablesv/venezchamp.html,99/2,Venezuela - List of Champions and Runners Up
/tablesv/venezclub.html,1/1,Venezuela Club Directory
/tablesv/venezcuphist.html,67/2,Venezuela - List of Cup Winners and Runners Up
/tablesv/venezfound.html,1/2,Venezuela - Foundation Dates of Clubs
/tablesv/veneztops.html,1/2,Venezuela - List of Topscorers
/tablesv/vgorda-intres.html,1/1,Virgin Gorda (British Virgin Islands) - List of International Matches
/tablesv/viet-intres.html,3/3,Vietnam - List of International Matches
/tablesv/viet-wom2025.html,0/1,-
/tablesv/viet-womcuphist.html,2/1,Vietnam - List of Women Cup Winners
/tablesv/viet00.html,0/2,-
/tablesv/viet01.html,0/2,-
/tablesv/viet02.html,0/2,-
/tablesv/viet03.html,0/2,-
/tablesv/viet04.html,0/2,-
/tablesv/viet05.html,0/2,-
/tablesv/viet06.html,0/2,-
/tablesv/viet07.html,0/2,-
/tablesv/viet08.html,0/2,-
/tablesv/viet09.html,0/2,-
/tablesv/viet2010.html,0/2,-
/tablesv/viet2011.html,0/2,-
/tablesv/viet2012.html,0/2,-
/tablesv/viet2013.html,0/2,-
/tablesv/viet2014.html,0/2,-
/tablesv/viet2015.html,0/2,-
/tablesv/viet2016.html,0/2,-
/tablesv/viet2017.html,0/2,-
/tablesv/viet2018.html,0/2,-
/tablesv/viet2019.html,0/2,-
/tablesv/viet2020.html,0/2,-
/tablesv/viet2021.html,0/2,-
/tablesv/viet2022.html,0/2,-
/tablesv/viet2023.html,0/2,-
/tablesv/viet2024.html,0/3,-
/tablesv/viet2025.html,5/3,Vietnam 2024/25
/tablesv/viet2026.html,4/4,Vietnam 2025/26
/tablesv/viet29.html,0/1,-
/tablesv/viet42.html,0/1,-
/tablesv/viet74.html,0/1,-
/tablesv/viet77.html,0/1,-
/tablesv/viet78.html,0/1,-
/tablesv/viet79.html,0/1,-
/tablesv/viet80.html,0/1,-
/tablesv/viet82.html,0/1,-
/tablesv/viet83.html,0/1,-
/tablesv/viet84.html,0/1,-
/tablesv/viet85.html,0/1,-
/tablesv/viet86.html,0/1,-
/tablesv/viet87.html,0/1,-
/tablesv/viet88.html,0/1,-
/tablesv/viet89.html,0/1,-
/tablesv/viet90.html,0/1,-
/tablesv/viet91.html,0/1,-
/tablesv/viet92.html,0/2,-
/tablesv/viet94.html,0/2,-
/tablesv/viet95.html,0/1,-
/tablesv/viet96.html,0/2,-
/tablesv/viet97.html,0/2,-
/tablesv/viet98.html,0/2,-
/tablesv/vietchamp.html,52/4,Vietnam - List of Champions
/tablesv/vietcuphist.html,34/2,Vietnam - List of Cup Winners
/tablesv/vietnchamp.html,4/3,North Vietnam - List of Champions
/tablesv/vietzchamp.html,5/4,South Vietnam - List of Champions
/tablesv/villanuevaserena.html,2/2,Trofeo Ciudad de Villanueva de la Serena (Badajoz)
/tablesv/villanuevaserena2.html,2/2,Trofeo San Bartolomé (Villanueva de la Serena-Badajoz)
/tablesv/virgin-4isles.html,2/2,Virgin Islands Championship
