path,links,title
/tablesw/asia-women2018.html,0/1,-
/tablesw/aswomen.html,0/1,-
/tablesw/wafc.html,29/28,UFOA Cup
/tablesw/wafc00.html,5/3,UFOA Cup 2000
/tablesw/wafc09.html,4/3,UFOA Cup 2009
/tablesw/wafc2010.html,4/3,UFOA Cup 2010
/tablesw/wafc2011.html,4/3,UFOA Cup 2011
/tablesw/wafc2017.html,3/4,UFOA Cup 2017
/tablesw/wafc77.html,3/2,UFOA Cup 1977
/tablesw/wafc78.html,4/2,UFOA Cup 1978
/tablesw/wafc79.html,0/1,-
/tablesw/wafc80.html,4/3,UFOA Cup 1980
/tablesw/wafc81.html,4/3,UFOA Cup 1981
/tablesw/wafc82.html,4/3,UFOA Cup 1982
/tablesw/wafc83.html,4/3,UFOA Cup 1983
/tablesw/wafc84.html,4/3,UFOA Cup 1984
/tablesw/wafc85.html,4/3,UFOA Cup 1985
/tablesw/wafc86.html,4/3,UFOA Cup 1986
/tablesw/wafc87.html,4/3,UFOA Cup 1987
/tablesw/wafc88.html,4/3,UFOA Cup 1988
/tablesw/wafc89.html,5/3,UFOA Cup 1989
/tablesw/wafc90.html,5/3,UFOA Cup 1990
/tablesw/wafc91.html,5/3,UFOA Cup 1991
/tablesw/wafc92.html,4/3,UFOA Cup 1992
/tablesw/wafc93.html,4/3,UFOA Cup 1993
/tablesw/wafc94.html,4/3,UFOA Cup 1994
/tablesw/wafc95.html,4/3,UFOA Cup 1995
/tablesw/wafc96.html,4/3,UFOA Cup 1996
/tablesw/wafc97.html,4/3,UFOA Cup 1997
/tablesw/wafc98.html,4/3,UFOA Cup 1998
/tablesw/wafc99.html,4/3,UFOA Cup 1999
/tablesw/waff.html,10/8,West Asian Championship
/tablesw/waff02.html,5/3,West Asian Championship (Syria) 2002
/tablesw/waff02det.html,0/1,-
/tablesw/waff04.html,4/3,West Asian Championship (Iran) 2004
/tablesw/waff06.html,4/3,West Asian Championship (Jordan) 2007
/tablesw/waff08.html,4/2,West Asian Championship (Tehran) 2008
/tablesw/waff2010.html,0/2,-
/tablesw/waff2012.html,0/2,-
/tablesw/waff2014.html,4/2,West Asian Championship (Qatar) 2014
/tablesw/waff2019.html,3/4,West Asian Championship (Iraq) 2019
/tablesw/wafu01.html,4/5,WAFU Nations Cup 2001
/tablesw/wafu05.html,3/5,WAFU Laurent Gbagbo West African Unity Cup 2005
/tablesw/wafu2010.html,4/3,WAFU Nations Cup 2010
/tablesw/wafu2011.html,4/3,WAFU Nations Cup 2011
/tablesw/wafu2013.html,4/3,WAFU Nations Cup 2013
/tablesw/wafu2017.html,4/3,WAFU Nations Cup 2017
/tablesw/wafu2019.html,3/4,WAFU Nations Cup 2019
/tablesw/wafunc.html,10/9,WAFU Nations Cup
/tablesw/wal-intres.html,5/2,International matches of Wales
/tablesw/wal-intres00.html,0/1,-
/tablesw/wal-intres80.html,0/1,-
/tablesw/wal-intres90.html,0/1,-
/tablesw/wal00.html,0/1,-
/tablesw/wal01.html,0/1,-
/tablesw/wal02.html,0/1,-
/tablesw/wal03.html,0/1,-
/tablesw/wal04.html,0/1,-
/tablesw/wal05.html,0/1,-
/tablesw/wal06.html,0/1,-
/tablesw/wal07.html,0/1,-
/tablesw/wal08.html,0/1,-
/tablesw/wal09.html,0/1,-
/tablesw/wal1878.html,0/1,-
/tablesw/wal1879.html,0/1,-
/tablesw/wal1880.html,0/1,-
/tablesw/wal1881.html,0/1,-
/tablesw/wal1882.html,0/1,-
/tablesw/wal1883.html,0/1,-
/tablesw/wal1884.html,0/1,-
/tablesw/wal1885.html,0/1,-
/tablesw/wal1886.html,0/1,-
/tablesw/wal1887.html,0/1,-
/tablesw/wal1888.html,0/1,-
/tablesw/wal1889.html,0/1,-
/tablesw/wal1890.html,0/1,-
/tablesw/wal1891.html,0/2,-
/tablesw/wal1892.html,0/2,-
/tablesw/wal1893.html,0/2,-
/tablesw/wal1894.html,0/1,-
/tablesw/wal1895.html,0/1,-
/tablesw/wal1896.html,0/1,-
/tablesw/wal1897.html,0/1,-
/tablesw/wal1898.html,0/1,-
/tablesw/wal1899.html,0/1,-
/tablesw/wal1900.html,0/1,-
/tablesw/wal1901.html,0/1,-
/tablesw/wal1902.html,0/1,-
/tablesw/wal1903.html,0/1,-
/tablesw/wal1904.html,0/1,-
/tablesw/wal1905.html,0/1,-
/tablesw/wal1906.html,0/1,-
/tablesw/wal1907.html,0/1,-
/tablesw/wal1908.html,0/1,-
/tablesw/wal1909.html,0/1,-
/tablesw/wal1910.html,0/1,-
/tablesw/wal1911.html,0/1,-
/tablesw/wal1912.html,0/1,-
/tablesw/wal1913.html,0/1,-
/tablesw/wal1914.html,0/1,-
/tablesw/wal1915.html,0/1,-
/tablesw/wal1920.html,0/1,-
/tablesw/wal1921.html,0/1,-
/tablesw/wal1922.html,0/1,-
/tablesw/wal1923.html,0/1,-
/tablesw/wal1924.html,0/1,-
/tablesw/wal1925.html,0/1,-
/tablesw/wal1926.html,0/1,-
/tablesw/wal1927.html,0/1,-
/tablesw/wal1928.html,0/1,-
/tablesw/wal1929.html,0/1,-
/tablesw/wal1930.html,0/1,-
/tablesw/wal1931.html,0/1,-
/tablesw/wal1932.html,0/1,-
/tablesw/wal1933.html,0/1,-
/tablesw/wal1934.html,0/1,-
/tablesw/wal1935.html,0/1,-
/tablesw/wal1936.html,0/1,-
/tablesw/wal1937.html,0/1,-
/tablesw/wal1938.html,0/1,-
/tablesw/wal1939.html,0/1,-
/tablesw/wal1940.html,0/1,-
/tablesw/wal2010.html,0/3,-
/tablesw/wal2011.html,0/3,-
/tablesw/wal2012.html,0/3,-
/tablesw/wal2013.html,0/3,-
/tablesw/wal2014.html,0/3,-
/tablesw/wal2015.html,0/3,-
/tablesw/wal2016.html,0/3,-
/tablesw/wal2017.html,0/3,-
/tablesw/wal2018.html,0/3,-
/tablesw/wal2019.html,0/3,-
/tablesw/wal2020.html,0/3,-
/tablesw/wal2021.html,0/1,-
/tablesw/wal2022.html,0/3,-
/tablesw/wal2023.html,0/3,-
/tablesw/wal2024.html,0/4,-
/tablesw/wal2025.html,7/4,Wales 2024/25
/tablesw/wal2026.html,6/5,Wales 2025/26
/tablesw/wal47.html,0/1,-
/tablesw/wal48.html,0/1,-
/tablesw/wal49.html,0/1,-
/tablesw/wal50.html,0/1,-
/tablesw/wal51.html,0/1,-
/tablesw/wal52.html,0/1,-
/tablesw/wal53.html,0/1,-
/tablesw/wal54.html,0/1,-
