path,links,title
/tablesy/yemen-intres.html,3/3,Yemen - List of International Matches
/tablesy/yemen00.html,0/2,-
/tablesy/yemen01.html,0/2,-
/tablesy/yemen02.html,0/2,-
/tablesy/yemen03.html,0/2,-
/tablesy/yemen04.html,0/2,-
/tablesy/yemen05.html,0/2,-
/tablesy/yemen06.html,0/2,-
/tablesy/yemen07.html,0/2,-
/tablesy/yemen08.html,0/2,-
/tablesy/yemen09.html,0/2,-
/tablesy/yemen2010.html,0/2,-
/tablesy/yemen2011.html,0/2,-
/tablesy/yemen2012.html,0/2,-
/tablesy/yemen2013.html,0/2,-
/tablesy/yemen2014.html,0/2,-
/tablesy/yemen2015.html,0/1,-
/tablesy/yemen2016.html,0/1,-
/tablesy/yemen2017.html,0/1,-
/tablesy/yemen2018.html,0/1,-
/tablesy/yemen2019.html,0/1,-
/tablesy/yemen2020.html,0/1,-
/tablesy/yemen2022.html,0/2,-
/tablesy/yemen2023.html,0/2,-
/tablesy/yemen2024.html,6/3,Yemen 2023/24
/tablesy/yemen2026.html,5/3,Yemen 2026
/tablesy/yemen81.html,0/1,-
/tablesy/yemen84.html,0/2,-
/tablesy/yemen90.html,0/1,-
/tablesy/yemen91.html,0/1,-
/tablesy/yemen92.html,0/1,-
/tablesy/yemen94.html,0/1,-
/tablesy/yemen95.html,0/1,-
/tablesy/yemen97.html,0/1,-
/tablesy/yemen98.html,0/2,-
/tablesy/yemen99.html,0/2,-
/tablesy/yemenadenhist.html,0/2,-
/tablesy/yemenchamp.html,32/2,Yemen - List of Champions
/tablesy/yemencup96.html,0/1,-
/tablesy/yemencuphist.html,28/2,Yemen - List of Cup Winners
/tablesy/yementops.html,1/2,Yemen - List of Topscorers
/tablesy/yog2018.html,2/2,Buenos Aires 2018 Youth Olympic Games
