path,links,title
/tablesz/zaf-intres.html,10/1,South Africa - International Results
/tablesz/zaf-intres1995.html,0/1,-
/tablesz/zaf-intres2000.html,0/1,-
/tablesz/zaf-intres2005.html,0/1,-
/tablesz/zaf-intres24.html,0/1,-
/tablesz/zaf-intres4755.html,0/1,-
/tablesz/zaf00.html,0/2,-
/tablesz/zaf01.html,0/2,-
/tablesz/zaf02.html,0/2,-
/tablesz/zaf03.html,0/2,-
/tablesz/zaf04.html,0/2,-
/tablesz/zaf05.html,0/2,-
/tablesz/zaf06.html,0/2,-
/tablesz/zaf07.html,0/2,-
/tablesz/zaf08.html,0/2,-
/tablesz/zaf09.html,0/2,-
/tablesz/zaf1887.html,0/1,-
/tablesz/zaf1894.html,0/1,-
/tablesz/zaf1905.html,0/1,-
/tablesz/zaf2010.html,0/2,-
/tablesz/zaf2011.html,0/2,-
/tablesz/zaf2012.html,0/2,-
/tablesz/zaf2013.html,0/2,-
/tablesz/zaf2014.html,0/2,-
/tablesz/zaf2015.html,0/2,-
/tablesz/zaf2016.html,0/2,-
/tablesz/zaf2017.html,0/2,-
/tablesz/zaf2018.html,0/2,-
/tablesz/zaf2019.html,0/2,-
/tablesz/zaf2020.html,0/2,-
/tablesz/zaf2021.html,0/2,-
/tablesz/zaf2022.html,0/2,-
/tablesz/zaf2023.html,0/2,-
/tablesz/zaf2024.html,0/3,-
/tablesz/zaf2025.html,5/3,South Africa 2024/25
/tablesz/zaf2026.html,4/4,South Africa 2025/26
/tablesz/zaf48.html,0/1,-
/tablesz/zaf49.html,0/1,-
/tablesz/zaf52.html,0/1,-
/tablesz/zaf53.html,0/1,-
/tablesz/zaf57.html,0/1,-
/tablesz/zaf59.html,0/2,-
/tablesz/zaf60.html,0/2,-
/tablesz/zaf61.html,0/2,-
/tablesz/zaf62.html,0/2,-
/tablesz/zaf63.html,0/2,-
/tablesz/zaf64.html,0/2,-
/tablesz/zaf65.html,0/2,-
/tablesz/zaf66.html,0/2,-
/tablesz/zaf67.html,0/2,-
/tablesz/zaf68.html,0/2,-
/tablesz/zaf69.html,0/2,-
/tablesz/zaf70.html,0/2,-
/tablesz/zaf71.html,0/2,-
/tablesz/zaf72.html,0/2,-
/tablesz/zaf73.html,0/2,-
/tablesz/zaf74.html,0/2,-
/tablesz/zaf75.html,0/2,-
/tablesz/zaf76.html,0/2,-
/tablesz/zaf77.html,0/2,-
/tablesz/zaf78.html,0/2,-
/tablesz/zaf79.html,0/1,-
/tablesz/zaf80.html,0/1,-
/tablesz/zaf81.html,0/1,-
/tablesz/zaf82.html,0/2,-
/tablesz/zaf83.html,0/1,-
/tablesz/zaf84.html,0/1,-
/tablesz/zaf85.html,0/2,-
/tablesz/zaf86.html,0/2,-
/tablesz/zaf87.html,0/2,-
/tablesz/zaf88.html,0/1,-
/tablesz/zaf89.html,0/2,-
/tablesz/zaf90.html,0/2,-
/tablesz/zaf91.html,0/2,-
/tablesz/zaf92.html,0/1,-
/tablesz/zaf93.html,0/2,-
/tablesz/zaf94.html,0/2,-
/tablesz/zaf95.html,0/2,-
/tablesz/zaf96.html,0/2,-
/tablesz/zaf97.html,0/1,-
/tablesz/zaf98.html,0/2,-
/tablesz/zaf99.html,0/2,-
/tablesz/zafbaloyi.html,0/2,-
/tablesz/zafchamp.html,79/4,South Africa Champions
/tablesz/zafclublist.html,1/1,South Africa Club Directory
/tablesz/zafcup66.html,0/1,-
/tablesz/zafcuphist.html,67/2,South Africa Cup Winners
/tablesz/zafcurrie.html,0/2,-
/tablesz/zafmakanachamp.html,3/1,South Africa - Makana FA (Robben Island)
/tablesz/zaire-intres.html,1/1,"DR Congo (Zaire, Congo-Kinshasa) - List of International Matches"
/tablesz/zaire-regchamp.html,0/2,-
/tablesz/zaire00.html,0/2,-
/tablesz/zaire01.html,0/2,-
/tablesz/zaire02.html,0/2,-
/tablesz/zaire03.html,0/2,-
/tablesz/zaire04.html,0/2,-
/tablesz/zaire05.html,0/2,-
/tablesz/zaire06.html,0/2,-
/tablesz/zaire07.html,0/2,-
/tablesz/zaire08.html,0/2,-
/tablesz/zaire09.html,0/2,-
/tablesz/zaire2010.html,0/2,-
/tablesz/zaire2011.html,0/2,-
/tablesz/zaire2012.html,0/2,-
/tablesz/zaire2013.html,0/2,-
/tablesz/zaire2014.html,0/2,-
/tablesz/zaire2015.html,0/2,-
/tablesz/zaire2016.html,0/2,-
/tablesz/zaire2017.html,0/2,-
/tablesz/zaire2018.html,0/2,-
/tablesz/zaire2019.html,0/2,-
/tablesz/zaire2020.html,0/2,-
/tablesz/zaire2021.html,0/2,-
/tablesz/zaire2022.html,0/2,-
/tablesz/zaire2023.html,0/2,-
/tablesz/zaire2024.html,0/3,-
/tablesz/zaire2025.html,5/3,Congo-Kinshasa (DR Congo) 2024/25
/tablesz/zaire2026.html,4/3,Congo-Kinshasa (DR Congo) 2025/26
/tablesz/zaire58.html,0/1,-
/tablesz/zaire59.html,0/1,-
/tablesz/zaire64.html,0/2,-
/tablesz/zaire65.html,0/2,-
/tablesz/zaire66.html,0/2,-
/tablesz/zaire67.html,0/2,-
/tablesz/zaire68.html,0/2,-
/tablesz/zaire69.html,0/2,-
/tablesz/zaire70.html,0/2,-
/tablesz/zaire71.html,0/2,-
/tablesz/zaire72.html,0/2,-
/tablesz/zaire73.html,0/2,-
/tablesz/zaire74.html,0/2,-
/tablesz/zaire84.html,0/2,-
/tablesz/zaire88.html,0/2,-
/tablesz/zaire90.html,0/1,-
/tablesz/zaire94.html,0/2,-
/tablesz/zaire97.html,0/2,-
/tablesz/zaire98.html,0/2,-
/tablesz/zaire99.html,0/2,-
/tablesz/zairechamp.html,51/4,Congo-Kinshasa (DR Congo; formerly Zaire) Champions
/tablesz/zairecup95.html,0/1,-
/tablesz/zairecuphist.html,51/3,Congo-Kinshasa (DR Congo; formerly Zaire) Cup Winners
/tablesz/zam-master53.html,2/2,South American Masters Championship 1953
/tablesz/zam-senior87.html,2/2,South American Seniors Championship 1987
/tablesz/zamb-intres.html,8/2,Zambia - List of International Matches
/tablesz/zamb-intres-asanovic.html,0/1,-
/tablesz/zamb-intres-chambeshi.html,0/1,-
/tablesz/zamb-intres-chiyangi.html,0/1,-
/tablesz/zamb-intres-lwandimana.html,0/1,-
/tablesz/zamb-intres-sichone.html,0/1,-
